"MRFG3.SA.Open","MRFG3.SA.High","MRFG3.SA.Low","MRFG3.SA.Close","MRFG3.SA.Volume","MRFG3.SA.Adjusted"
6.48303318023682,6.55263614654541,6.36371278762817,6.36371278762817,618607,4.20760631561279
6.41343021392822,6.63218212127686,6.36371278762817,6.42337322235107,1592227,4.24705266952515
6.35376977920532,6.59240913391113,6.35376977920532,6.56257915496826,1266380,4.3390941619873
6.53274917602539,6.72167205810547,6.53274917602539,6.54269218444824,1178381,4.3259449005127
6.54269218444824,6.59240913391113,6.26427984237671,6.29410982131958,2092966,4.16158533096313
6.26427984237671,6.26427984237671,5.90632104873657,6.02564096450806,2872486,3.98407745361328
6.06541395187378,6.19467687606812,6.04552698135376,6.12507390975952,4581777,4.04982137680054
6.16484689712524,6.21456289291382,5.99581098556519,6.09524393081665,2838795,4.03009843826294
6.16484689712524,6.24439287185669,6.01569700241089,6.09524393081665,2851869,4.03009843826294
6.0853009223938,6.16484689712524,5.94609403610229,6.15490388870239,7274343,4.06954383850098
6.09524393081665,6.24439287185669,6.09524393081665,6.24439287185669,1471744,4.12871265411377
6.20461988449097,6.24439287185669,6.05547094345093,6.20461988449097,2379591,4.10241556167603
6.20461988449097,6.22450685501099,6.12507390975952,6.12507390975952,1254311,4.04982137680054
6.15490388870239,6.18473386764526,6.03558397293091,6.15490388870239,3057736,4.06954383850098
6.14495992660522,6.20461988449097,6.0853009223938,6.1051869392395,10775293,4.03667211532593
6.13501691818237,6.19467687606812,6.09524393081665,6.16484689712524,1094304,4.07611799240112
6.19467687606812,6.24439287185669,6.11512994766235,6.24439287185669,2360986,4.12871265411377
6.36371278762817,6.56257915496826,6.25433683395386,6.56257915496826,4252812,4.3390941619873
6.56257915496826,6.66201210021973,6.45320320129395,6.58246612548828,2425753,4.3522424697876
6.4631462097168,6.48303318023682,6.30405282974243,6.36371278762817,3950096,4.20760631561279
6.31399583816528,6.49297618865967,6.27422285079956,6.42337322235107,1401747,4.24705266952515
6.43331623077393,6.60235214233398,6.41343021392822,6.55263614654541,3207988,4.33251953125
6.53274917602539,6.68189907073975,6.48303318023682,6.622239112854,4673195,4.3785400390625
6.61229610443115,6.81116199493408,6.58246612548828,6.72167205810547,4268601,4.44428396224976
6.72167205810547,6.91059494018555,6.47308921813965,6.71172904968262,3569136,4.43770933151245
6.71172904968262,6.82110500335693,6.63218212127686,6.82110500335693,2175132,4.51002740859985
6.82110500335693,7.05974388122559,6.70178508758545,6.71172904968262,5665220,4.43770933151245
6.68189907073975,6.86087799072266,6.66201210021973,6.84099197387695,1344120,4.52317667007446
6.82110500335693,7.15917682647705,6.79127502441406,7.15917682647705,3254351,4.73355674743652
7.1492338180542,7.33815717697144,7.06968688964844,7.33815717697144,1192259,4.85189580917358
7.31827020645142,7.4375901222229,7.23872423171997,7.2983832359314,1838322,4.82559776306152
7.32821321487427,7.35804319381714,7.1691198348999,7.30832719802856,2870877,4.83217334747314
7.25860977172852,7.2983832359314,7.1492338180542,7.17906379699707,1985457,4.74670505523682
7.1492338180542,7.19894981384277,6.96031093597412,6.96031093597412,1414017,4.60206890106201
6.98019790649414,7.04980087280273,6.88076496124268,6.88076496124268,1016563,4.54947471618652
6.95036792755127,6.95036792755127,6.82110500335693,6.82110500335693,2214053,4.51002740859985
6.78133201599121,6.8509349822998,6.3338828086853,6.3338828086853,3071917,4.18788290023804
6.39354276657104,6.47308921813965,5.96598100662231,6.07535696029663,4678123,4.01694869995117
6.01569700241089,6.30405282974243,5.8764910697937,6.21456289291382,4260355,4.10899019241333
6.27422285079956,6.3338828086853,6.0853009223938,6.25433683395386,3355323,4.13528776168823
6.21456289291382,6.38360023498535,6.1747899055481,6.20461988449097,3714862,4.10241556167603
6.23444986343384,6.28416681289673,5.92620801925659,6.07535696029663,3059345,4.01694869995117
6.00575399398804,6.1051869392395,5.99581098556519,6.05547094345093,2757735,4.00380039215088
6.06541395187378,6.12507390975952,5.98586797714233,6.03558397293091,1921695,3.99065160751343
6.03558397293091,6.05547094345093,5.89637804031372,5.96598100662231,2597024,3.94463062286377
5.99581098556519,6.0853009223938,5.98586797714233,6.0853009223938,1309725,4.02352333068848
6.09524393081665,6.09524393081665,5.97592401504517,6.05547094345093,1147807,4.00380039215088
6.0853009223938,6.09524393081665,5.96598100662231,5.96598100662231,1349451,3.94463062286377
5.99581098556519,6.00575399398804,5.76711511611938,5.76711511611938,1422666,3.81314325332642
5.76711511611938,5.82677507400513,5.73728513717651,5.75717210769653,2769200,3.80656933784485
5.79694509506226,5.88643407821655,5.68756818771362,5.68756818771362,1698429,3.76054763793945
5.69751214981079,5.74722814559937,5.52847623825073,5.56824922561646,3549323,3.68165516853333
5.31966590881348,5.44892883300781,5.24011993408203,5.32960987091064,3226996,3.52387022972107
5.39921283721924,5.56824922561646,5.34949588775635,5.38926887512207,2054247,3.56331562995911
5.38926887512207,5.588134765625,5.25006294250488,5.51853179931641,2181568,3.6487832069397
5.46881580352783,5.89637804031372,5.41909885406494,5.80688810348511,2250157,3.83944058418274
5.81683111190796,5.86654806137085,5.76711511611938,5.86654806137085,1293835,3.87888693809509
5.93615102767944,6.1051869392395,5.92620801925659,5.97592401504517,2679693,3.9512050151825
5.93615102767944,6.02564096450806,5.8764910697937,5.88643407821655,1582069,3.89203548431396
5.91626405715942,5.96598100662231,5.83671808242798,5.86654806137085,2464875,3.87888693809509
5.90632104873657,5.90632104873657,5.73728513717651,5.73728513717651,464936,3.79341983795166
5.75717210769653,5.82677507400513,5.67762517929077,5.67762517929077,994337,3.75397372245789
