"Date","CASH3.SA.Open","CASH3.SA.High","CASH3.SA.Low","CASH3.SA.Close","CASH3.SA.Volume","CASH3.SA.Adjusted"
2021-07-02,79.6333312988281,85.4166641235352,79.6333312988281,85.3333358764648,1631220,36.0755004882812
2021-07-05,85.3666687011719,91.0166625976562,85.3666687011719,88.3333358764648,1948980,37.3437843322754
2021-07-06,88,92.4000015258789,86.6999969482422,92.4000015258789,2661300,39.0630035400391
2021-07-07,92.5,93.5,90,91.283332824707,2124240,38.5909194946289
2021-07-08,89.5,91.9166641235352,87.0166625976562,90.0833358764648,1689600,38.083610534668
2021-07-12,91.6999969482422,92.7333297729492,90.5833358764648,92.2666625976562,814560,39.0066337585449
2021-07-13,92.5,97.5,91.75,97.5,1877580,41.2190780639648
2021-07-14,97.3333358764648,99.25,95.5500030517578,96.0999984741211,1601520,40.6272125244141
2021-07-15,95.033332824707,99.8333358764648,94.5833358764648,99.3333358764648,1866960,41.994140625
2021-07-16,98.9833297729492,102.5,96.6999969482422,101.099998474121,3127140,42.7410125732422
2021-07-19,99.1666641235352,104.150001525879,97.9333343505859,101.5,2549040,42.9101181030273
2021-07-20,102.516662597656,109.150001525879,101.5,108.583335876465,2700600,45.904670715332
2021-07-21,110,114,109.266662597656,114,3417540,48.1946144104004
2021-07-22,116.683334350586,121.833335876465,115.833335876465,118.699996948242,3649200,50.1815872192383
2021-07-23,118.099998474121,121.383331298828,117.383331298828,119,1940820,50.3084106445312
2021-07-26,120.833335876465,128.08332824707,120.616668701172,123.333335876465,2630880,52.1403770446777
2021-07-27,124.666664123535,126.666664123535,110.5,112.833335876465,5403840,47.7013969421387
2021-07-28,115,120,115,118.5,2669340,50.0970344543457
2021-07-29,120.666664123535,122.666664123535,117.616668701172,119,1593420,50.3084106445312
2021-07-30,118.216667175293,120.733329772949,111.099998474121,113.166664123535,2435460,47.8423118591309
2021-08-02,117.333335876465,119.833335876465,114.666664123535,114.783332824707,1865280,48.5257759094238
2021-08-03,114.783332824707,116.650001525879,108.833335876465,115.516662597656,1899960,48.8357963562012
2021-08-04,116.333335876465,118.083335876465,110.550003051758,111.133331298828,1677660,46.9827041625977
2021-08-05,112.650001525879,114.166664123535,109.333335876465,109.333335876465,1279440,46.2217407226562
2021-08-06,108.333335876465,111.916664123535,107.599998474121,110,1179360,46.5035781860352
2021-08-09,109.683334350586,110.666664123535,103.75,104.599998474121,1459320,44.2206764221191
2021-08-10,103.516662597656,104.466667175293,96.5,96.8333358764648,2550480,40.9372406005859
2021-08-11,95.4166641235352,102.583335876465,92.9166641235352,101.416664123535,3703800,42.874885559082
2021-08-12,101.416664123535,104.166664123535,95.8333358764648,96.4833297729492,2062260,40.7892723083496
2021-08-13,97.9833297729492,99.6166687011719,90.9166641235352,93.3333358764648,2297040,39.4575805664062
2021-08-16,92.4833297729492,92.4833297729492,79.1166687011719,81.5833358764648,5823660,34.4901542663574
2021-08-17,78.783332824707,83.25,73.9000015258789,80.0166625976562,5201700,33.8278274536133
2021-08-18,80.1666641235352,81.4166641235352,75.6833343505859,75.6833343505859,3120360,31.9958686828613
2021-08-19,72.5,80.8333358764648,69.5,80.8333358764648,6709740,34.1730842590332
2021-08-20,79.3333358764648,82.4333343505859,75.6666641235352,75.6666641235352,5675640,31.9888229370117
2021-08-23,76.5833358764648,77.466667175293,70.0999984741211,70.0999984741211,5112180,29.6354598999023
2021-08-24,71.3333358764648,74.4333343505859,66.5500030517578,67.3333358764648,6952680,28.4658260345459
2021-08-25,68.0999984741211,70.8333358764648,66.1666641235352,69,4686540,29.1704254150391
2021-08-26,69.1666641235352,70.6666641235352,66.6999969482422,67.1333312988281,3020460,28.3812732696533
2021-08-27,68.3666687011719,69.466667175293,66.5,67.3333358764648,2026920,28.4658260345459
2021-08-30,67.3333358764648,68.4166641235352,66.1999969482422,67,1893180,28.3249053955078
2021-08-31,67.0833358764648,71.0666656494141,66.6999969482422,67.8000030517578,4393560,28.6631145477295
2021-09-01,68.466667175293,69.283332824707,62.033332824707,62.25,3935220,26.3167972564697
2021-09-02,62.2999992370605,64.1666641235352,57.3666648864746,57.5833320617676,6729960,24.3439159393311
2021-09-03,59.0833320617676,61.4833335876465,57.25,59,7717920,24.9428272247314
2021-09-06,60.5,61.5,57.9333343505859,58.6666641235352,2411820,24.8019065856934
2021-09-08,58.3666648864746,58.5166664123535,51.4833335876465,52,4074960,21.9835071563721
2021-09-09,52.1666641235352,55.4833335876465,51.1666641235352,54.7000007629395,6314520,23.1249618530273
2021-09-10,59,61.7999992370605,56.7000007629395,59.2999992370605,4437770,25.0696544647217
2021-09-13,62,66.9000015258789,60.2999992370605,66.9000015258789,5413240,28.2826290130615
2021-09-14,67.5,77.0999984741211,66.1999969482422,77,9046370,32.5525054931641
2021-09-15,77.4000015258789,81.8000030517578,69.6999969482422,77.3000030517578,9367910,32.6793327331543
2021-09-16,74.3000030517578,81.1999969482422,72.3000030517578,73.6999969482422,5896210,31.1573963165283
2021-09-17,72.5,75.5,71.0999984741211,71.0999984741211,4084140,30.058219909668
2021-09-20,69.0999984741211,71.5999984741211,65.5,66.9000015258789,3782910,28.2826290130615
2021-09-21,70,76.5999984741211,68.5999984741211,76,5443680,32.1297454833984
2021-09-22,80.3000030517578,80.6999969482422,74.4000015258789,75,5480920,31.7069835662842
2021-09-23,76.5,78.1999969482422,73.1999969482422,74.8000030517578,3721080,31.6224327087402
2021-09-24,73.9000015258789,75.4000015258789,67.5,69.5,4893290,29.3818054199219
2021-09-27,69.5,72.4000015258789,65.3000030517578,65.9000015258789,4389270,27.8598709106445
2021-09-28,64.9000015258789,65.3000030517578,59.2000007629395,60.2000007629395,5596230,25.450138092041
2021-09-29,62.5,65.3000030517578,60.7999992370605,62.5,4775900,26.4224872589111
2021-09-30,64,65.6999969482422,58.4000015258789,60.0999984741211,5156960,25.4078636169434
2021-10-01,60.7000007629395,66,60.4000015258789,62.9000015258789,4611910,26.5915927886963
2021-10-04,63.7999992370605,65,57.5,57.7000007629395,4475750,24.3932399749756
2021-10-05,59.2999992370605,60.9000015258789,55.5,56.0999984741211,3911690,23.7168235778809
