"Date","BRAV3.SA.Open","BRAV3.SA.High","BRAV3.SA.Low","BRAV3.SA.Close","BRAV3.SA.Volume","BRAV3.SA.Adjusted"
2020-11-10,21,21,21,21,0,21
2020-11-11,21,21,21,21,0,21
2020-11-12,20.6499996185303,22.3799991607666,20.25,20.8999996185303,2078600,20.8999996185303
2020-11-13,21,21.3500003814697,20.7999992370605,20.7999992370605,470000,20.7999992370605
2020-11-16,21.1499996185303,21.25,20.9699993133545,21,175800,21
2020-11-17,20.9400005340576,20.9899997711182,20.6499996185303,20.9899997711182,256600,20.9899997711182
2020-11-18,20.9899997711182,21.0699996948242,20.8999996185303,20.8999996185303,96600,20.8999996185303
2020-11-19,21,21.0400009155273,20.8199996948242,20.8999996185303,84300,20.8999996185303
2020-11-23,20.9599990844727,21.3500003814697,20.9599990844727,21.0200004577637,77700,21.0200004577637
2020-11-24,21.1499996185303,21.5,21.1499996185303,21.3199996948242,1043300,21.3199996948242
2020-11-25,21.6000003814697,23.2399997711182,21.6000003814697,23.1200008392334,467200,23.1200008392334
2020-11-26,23.2099990844727,23.7999992370605,23.2099990844727,23.7999992370605,71400,23.7999992370605
2020-11-27,24,24.5,23,24,70500,24
2020-11-30,24,24.2000007629395,23.8500003814697,23.9500007629395,69500,23.9500007629395
2020-12-01,24.0599994659424,24.1000003814697,23.9599990844727,24,91500,24
2020-12-02,24,24.2000007629395,24,24.0499992370605,37600,24.0499992370605
2020-12-03,25,26.5,24.0400009155273,24.5,477900,24.5
2020-12-04,24.7600002288818,26.3899993896484,24.7000007629395,25.2399997711182,801800,25.2399997711182
2020-12-07,25.2399997711182,26.6900005340576,24.6700000762939,26.4300003051758,73200,26.4300003051758
2020-12-08,26.6000003814697,27.6499996185303,26.6000003814697,27.3999996185303,123700,27.3999996185303
2020-12-09,27.5599994659424,28.8899993896484,27.3299999237061,27.9200000762939,208300,27.9200000762939
2020-12-10,28.75,28.8899993896484,27.8899993896484,28.1100006103516,100600,28.1100006103516
2020-12-11,28.1499996185303,30.8999996185303,27.5699996948242,29.4599990844727,105800,29.4599990844727
2020-12-14,31.9500007629395,35,31.2700004577637,32,294200,32
2020-12-15,32.9300003051758,35.3499984741211,32.2200012207031,34.3400001525879,868700,34.3400001525879
2020-12-16,34.9799995422363,35.8400001525879,33.4000015258789,34,368700,34
2020-12-17,34.9799995422363,35,32.9199981689453,33.4000015258789,252700,33.4000015258789
2020-12-18,34.7999992370605,34.7999992370605,32.9599990844727,34.0499992370605,346800,34.0499992370605
2020-12-21,33.1500015258789,34.6800003051758,30.2999992370605,33.4799995422363,250800,33.4799995422363
2020-12-22,34.5499992370605,34.8199996948242,33.9099998474121,34.5,163900,34.5
2020-12-23,34.5299987792969,37.2299995422363,34.5200004577637,36,442200,36
2020-12-28,37,38.1399993896484,37,37.6699981689453,442100,37.6699981689453
2020-12-29,38,38.560001373291,37.4000015258789,37.5499992370605,329900,37.5499992370605
2020-12-30,37.5299987792969,38.0999984741211,37,37.2000007629395,181500,37.2000007629395
2021-01-04,38,38.0999984741211,36.3899993896484,36.4099998474121,324700,36.4099998474121
2021-01-05,36.8800010681152,37.7900009155273,36,37.5900001525879,321000,37.5900001525879
2021-01-06,37.5900001525879,38.060001373291,36.8199996948242,37.1399993896484,393100,37.1399993896484
2021-01-07,37.1399993896484,37.6300010681152,36.2900009155273,36.5,1172200,36.5
2021-01-08,36.5800018310547,37.2000007629395,35.5099983215332,35.5099983215332,359300,35.5099983215332
2021-01-11,35.25,35.25,33.5,33.5,440400,33.5
2021-01-12,34.4900016784668,35,33.9900016784668,34.0299987792969,317900,34.0299987792969
2021-01-13,34.25,35.6199989318848,34.25,34.7999992370605,202100,34.7999992370605
2021-01-14,34.9199981689453,36,34.8499984741211,36,248500,36
2021-01-15,36.0099983215332,36.4599990844727,34.5,35.310001373291,313000,35.310001373291
2021-01-18,35.4900016784668,35.9000015258789,34.6199989318848,35.4199981689453,115100,35.4199981689453
2021-01-19,36.5499992370605,37.3499984741211,35.5999984741211,35.5999984741211,712300,35.5999984741211
2021-01-20,36,36.7099990844727,35.0200004577637,35.5,351600,35.5
2021-01-21,35.5,35.6599998474121,34.7299995422363,35,188200,35
2021-01-22,34.5299987792969,34.7999992370605,33.8499984741211,34.2799987792969,215600,34.2799987792969
2021-01-26,34.9900016784668,35.3600006103516,31.9300003051758,32.2900009155273,657900,32.2900009155273
2021-01-27,32.0499992370605,33.0099983215332,30.5599994659424,32.689998626709,751400,32.689998626709
2021-01-28,32.310001373291,34.2099990844727,32.310001373291,33.5,160800,33.5
2021-01-29,33.310001373291,34.310001373291,32,32.5,178000,32.5
2021-02-01,34,34.4500007629395,32.939998626709,33.060001373291,597300,33.060001373291
2021-02-02,35,35.0099983215332,33.2599983215332,33.9500007629395,569700,33.9500007629395
2021-02-03,33.9700012207031,34.7999992370605,33.5,34.2599983215332,425500,34.2599983215332
2021-02-04,34.4000015258789,35.4900016784668,33.75,34,456700,34
