"TOTS3.SA.Open","TOTS3.SA.High","TOTS3.SA.Low","TOTS3.SA.Close","TOTS3.SA.Volume","TOTS3.SA.Adjusted"
7.96525812149048,7.98849010467529,7.69974899291992,7.82918500900269,525482,7.2167854309082
7.9154748916626,8.2473611831665,7.87896680831909,8.23076629638672,2191115,7.58695507049561
8.2473611831665,8.36352062225342,8.13120079040527,8.18098258972168,1201919,7.54106569290161
8.18098258972168,8.27059268951416,8.13120079040527,8.22412872314453,2106146,7.58083772659302
8.24072265625,8.24072265625,7.95862007141113,7.96857690811157,1419464,7.34527397155762
8.00840282440186,8.07146072387695,7.96525812149048,8.00176525115967,744231,7.37586688995361
8.07809925079346,8.10133075714111,7.90551805496216,8.01172161102295,519455,7.38504457473755
8.06814193725586,8.08473682403564,7.94866323471069,7.9785327911377,893982,7.35445117950439
8.04159069061279,8.21749114990234,7.93538808822632,8.13783836364746,1351368,7.50129652023315
8.07809925079346,8.26727390289307,8.07478046417236,8.26395511627197,1675877,7.61754894256592
8.27723026275635,8.4431734085083,8.26727390289307,8.38011455535889,1376979,7.72462129592896
8.45644855499268,8.61575412750244,8.42325973510742,8.51618766784668,3164040,7.85005044937134
8.59584140777588,8.61243534088135,8.49295616149902,8.58256530761719,6846030,7.91123628616333
8.58256530761719,8.62902927398682,8.3734769821167,8.46308612823486,1380595,7.80110263824463
8.46308612823486,8.67881202697754,8.4365348815918,8.63234806060791,1241089,7.95712566375732
8.55601406097412,8.83148002624512,8.54605770111084,8.74518871307373,1129002,8.06113815307617
8.71200084686279,8.91113185882568,8.71200084686279,8.83148002624512,1547520,8.14068126678467
8.96091461181641,9.09366893768311,8.78833389282227,9.09366893768311,1976583,8.38236045837402
9.06048107147217,9.11026382446289,8.75182723999023,9.01069831848145,2458978,8.30588054656982
8.96091461181641,9.00405979156494,8.64894199371338,8.72527599334717,2022683,8.04278373718262
8.69540596008301,8.8414363861084,8.64230537414551,8.65889930725098,1299242,7.98160123825073
8.74850845336914,8.82816123962402,8.67881202697754,8.67881202697754,1368844,7.99995374679565
8.65889930725098,8.82152271270752,8.42989826202393,8.79497241973877,1280862,8.10702896118164
8.78169727325439,9.00737857818604,8.78169727325439,8.80160999298096,1028064,8.1131477355957
8.80160999298096,8.93768310546875,8.75514602661133,8.81820392608643,1838885,8.12844371795654
8.91445064544678,8.91445064544678,8.71200084686279,8.78169727325439,1322744,8.09479331970215
8.79497241973877,8.87130641937256,8.59584140777588,8.87130641937256,1404398,8.17739200592041
8.87794399261475,8.97418975830078,8.66885471343994,8.74518871307373,1977487,8.06113815307617
8.74518871307373,8.84475517272949,8.52946281433105,8.52946281433105,3523802,7.86228656768799
8.61907291412354,8.65889930725098,8.11460590362549,8.48963737487793,5164427,7.82557725906372
8.48963737487793,8.51286888122559,8.33365058898926,8.46972370147705,1235967,7.80722236633301
8.45976734161377,8.76178359985352,8.45644855499268,8.73855209350586,920798,8.05502319335938
8.72527599334717,8.75514602661133,8.48963737487793,8.57924556732178,850895,7.90817880630493
8.69540596008301,8.69540596008301,8.44649219512939,8.59584140777588,805397,7.9234733581543
8.57592678070068,8.66885471343994,8.43321704864502,8.43985366821289,1300146,7.77968883514404
8.42989826202393,8.52946281433105,8.300461769104,8.36352062225342,680354,7.70932483673096
8.32037544250488,8.38675308227539,8.21749114990234,8.29714298248291,4358427,7.6481409072876
8.21417236328125,8.36020183563232,7.98185205459595,8.29714298248291,3516571,7.6481409072876
8.18762111663818,8.59252166748047,8.13120079040527,8.40998458862305,1557162,7.75215578079224
8.41994094848633,8.67217445373535,8.41994094848633,8.60911560058594,1511062,7.9357123374939
8.49959373474121,8.72527599334717,8.49959373474121,8.69208717346191,1803632,8.01219177246094
8.69540596008301,8.85471153259277,8.65889930725098,8.85471153259277,1021737,8.16209697723389
8.88458061218262,8.96091461181641,8.79829120635986,8.93104457855225,1148286,8.23245906829834
8.92772579193115,9.32266998291016,8.92772579193115,9.32266998291016,1498407,8.59344959259033
9.29280090332031,9.37245273590088,9.1666841506958,9.34258365631104,1360407,8.61180782318115
9.25297355651855,9.25297355651855,8.74850845336914,8.96755313873291,1474302,8.26610946655273
8.98414707183838,9.17996025085449,8.93104457855225,9.06048107147217,853004,8.35176658630371
9.06711769104004,9.33594608306885,8.96091461181641,9.04056835174561,1385115,8.33341312408447
8.96423435211182,9.21314811706543,8.93104457855225,9.02729225158691,1162146,8.32117557525635
9.01069831848145,9.35254001617432,8.94432067871094,9.25297355651855,1453512,8.52920341491699
9.34922122955322,9.34922122955322,9.1600456237793,9.2994384765625,1144670,8.57203674316406
9.30939483642578,9.35585880279541,9.19323539733887,9.35585880279541,5369920,8.62404251098633
9.37909126281738,9.5018892288208,9.37577247619629,9.5018892288208,1065426,8.75865268707275
9.57158470153809,9.58817863464355,9.38572883605957,9.39236640930176,1219696,8.65769481658936
9.40896129608154,9.40896129608154,9.12022018432617,9.21314811706543,1283272,8.49249649047852
9.19987297058105,9.29611968994141,9.13349628448486,9.22642421722412,911759,8.50473213195801
9.25629329681396,9.39900398254395,9.04720497131348,9.26624965667725,752668,8.54144287109375
9.2297420501709,9.3591775894165,9.07707500457764,9.12685775756836,762913,8.41295623779297
9.12685775756836,9.17332172393799,9.00405979156494,9.11358165740967,587551,8.40071678161621
9.01069831848145,9.10030746459961,8.73855209350586,8.88126182556152,1865702,8.1865701675415
8.91113185882568,9.28284358978271,8.85471153259277,9.04720497131348,1022942,8.33953475952148
8.96423435211182,9.3591775894165,8.96423435211182,9.20982933044434,765323,8.48943519592285
