"CVCB3.SA.Open","CVCB3.SA.High","CVCB3.SA.Low","CVCB3.SA.Close","CVCB3.SA.Volume","CVCB3.SA.Adjusted"
19.4920845031738,19.4920845031738,18.9646015167236,18.972843170166,287433,18.4041309356689
19.0387783050537,19.6074695587158,18.9975700378418,19.5415344238281,910106,18.9557762145996
20.0690155029297,20.497594833374,19.8217582702637,20.1596775054932,1027676,19.5553894042969
20.1926441192627,20.9508991241455,20.0525321960449,20.7695770263672,720343,20.147008895874
20.6871585845947,20.786060333252,20.2091274261475,20.5964984893799,543806,19.9791164398193
20.6047382354736,20.9756240844727,20.1184673309326,20.7695770263672,818864,20.147008895874
20.9261722564697,20.9838676452637,20.3574829101562,20.6871585845947,1029981,20.0670585632324
20.7036418914795,20.9344158172607,20.5964984893799,20.8107872009277,746551,20.1869812011719
21.4289283752441,21.7338790893555,20.5635299682617,20.9261722564697,1588590,20.2989101409912
20.8519954681396,21.7173957824707,20.8107872009277,21.7173957824707,1013359,21.0664138793945
21.7173957824707,21.7173957824707,21.0662860870361,21.2888164520264,581419,20.6506824493408
21.1981563568115,21.4289283752441,21.0168342590332,21.1487045288086,499884,20.5147724151611
21.1487045288086,21.4289283752441,20.8107872009277,21.1816711425781,668535,20.5467491149902
21.1981563568115,21.3053016662598,20.4563846588135,20.5223217010498,1960471,19.9071636199951
20.6541900634766,21.3794784545898,20.6459484100342,21.3794784545898,848348,20.7386264801025
21.3794784545898,21.4783802032471,21.1239795684814,21.2970581054688,395540,20.6586761474609
21.2723331451416,21.9728946685791,21.1487045288086,21.5443153381348,744610,20.8985233306885
21.5113487243652,21.948169708252,21.4783802032471,21.7091541290283,2125603,21.0584182739258
21.8492660522461,21.8575077056885,21.0415592193604,21.3053016662598,877468,20.6666736602783
21.3877201080322,21.5113487243652,20.74485206604,21.404203414917,976717,20.7626094818115
21.3877201080322,21.6102504730225,21.2723331451416,21.4289283752441,592703,20.7865943908691
21.5360736846924,21.7668476104736,21.1157379150391,21.4206867218018,827964,20.778600692749
21.404203414917,21.5443153381348,21.0992527008057,21.4783802032471,709666,20.834566116333
21.4783802032471,21.9069595336914,21.2888164520264,21.8657493591309,632985,21.2103214263916
21.9152011871338,22.022346496582,21.3547515869141,21.5031051635742,549509,20.8585472106934
21.5113487243652,21.8327827453613,21.2888164520264,21.8327827453613,699474,21.1783447265625
21.7586040496826,22.2448768615723,21.6184921264648,21.898717880249,438976,21.2423000335693
21.8080558776855,23.0113735198975,21.7338790893555,22.2531185150146,890814,21.5860767364502
22.2860851287842,22.5663108825684,22.0470714569092,22.3437805175781,1240369,21.6740245819092
22.5415859222412,23.2503871917725,22.4426822662354,22.8712615966797,1034956,22.1856918334961
22.9124698638916,23.0773086547852,22.1789417266846,22.5333423614502,1116733,21.8579025268555
22.5910358428955,23.786111831665,22.5745525360107,23.1597270965576,1109817,22.4655113220215
23.1762104034424,23.2833557128906,22.7064228057861,22.9948883056641,977930,22.3056163787842
22.9948883056641,23.0031318664551,22.4591655731201,22.4756507873535,708089,21.8019428253174
22.5827941894531,23.1597270965576,22.5827941894531,23.0608234405518,375035,22.3695735931396
23.3163223266602,23.3245658874512,22.9124698638916,23.2256622314453,409371,22.529468536377
23.2009372711182,23.3740177154541,22.9536800384521,23.3657741546631,911198,22.6653823852539
23.2998390197754,23.8520450592041,22.9948883056641,23.7366600036621,1103629,23.0251522064209
23.6872081756592,23.6872081756592,23.2174205780029,23.5141296386719,1218044,22.8092918395996
23.662483215332,23.6872081756592,23.0855503082275,23.2998390197754,749948,22.6014232635498
23.3245658874512,24.3135929107666,23.2009372711182,23.5718212127686,2825563,22.8652515411377
23.8438053131104,23.9179821014404,23.5718212127686,23.786111831665,967253,23.0731220245361
23.8520450592041,24.3465595245361,23.8190784454346,24.3135929107666,1178369,23.584789276123
24.3383178710938,24.3960113525391,23.9921588897705,24.3135929107666,593310,23.584789276123
24.3135929107666,24.3135929107666,23.777868270874,23.9014987945557,742062,23.1850471496582
23.8932552337646,24.0086421966553,23.3904991149902,24.0086421966553,1251168,23.2889804840088
24.1569976806641,24.6679935455322,24.1569976806641,24.6350269317627,1197054,23.8965911865234
24.6350269317627,24.8905258178711,24.5773334503174,24.7916221618652,889601,24.048490524292
24.7916221618652,24.7998657226562,24.4784317016602,24.7256870269775,524757,23.9845314025879
24.7421703338623,24.9729442596436,24.4124946594238,24.8493156433105,516507,24.1044540405273
24.8493156433105,25.055362701416,24.6432685852051,24.80810546875,511775,24.0644798278809
24.939977645874,24.9729442596436,24.4537048339844,24.5196399688721,813162,23.7846603393555
24.5361232757568,24.6185436248779,24.0416107177734,24.2311744689941,706512,23.5048446655273
24.3877696990967,24.4537048339844,23.8025951385498,23.8025951385498,502068,23.0891094207764
23.827320098877,23.909740447998,23.3410491943359,23.5718212127686,555090,22.8652515411377
23.5965480804443,24.4042549133301,23.4646778106689,24.1734790802002,682245,23.4488773345947
24.1734790802002,24.2888679504395,23.662483215332,23.6954498291016,363144,22.9851760864258
23.5800647735596,23.6377563476562,23.16796875,23.4729194641113,602531,22.7693176269531
23.4646778106689,23.5718212127686,23.1844520568848,23.5718212127686,658828,22.8652515411377
23.5718212127686,24.80810546875,23.4564342498779,24.321834564209,1135661,23.5927829742432
24.3877696990967,24.3877696990967,23.662483215332,23.8850135803223,2357588,23.169059753418
23.8932552337646,24.198205947876,23.6295146942139,23.8190784454346,1380992,23.1051006317139
23.9014987945557,24.3300762176514,23.6377563476562,23.6872081756592,957061,22.9771823883057
