"RENT3.SA.Open","RENT3.SA.High","RENT3.SA.Low","RENT3.SA.Close","RENT3.SA.Volume","RENT3.SA.Adjusted"
10.2013912200928,10.5625019073486,10.1532430648804,10.5143537521362,1836664,9.27248191833496
10.6106510162354,10.9687519073486,10.5173625946045,10.956714630127,3896306,9.66259288787842
10.8483819961548,11.1733818054199,10.7791690826416,11.1312532424927,3768368,9.81651592254639
11.2245397567749,11.2305583953857,10.8724555969238,10.9627342224121,3014694,9.6678991317749
10.9627342224121,10.9627342224121,10.7912063598633,10.9597253799438,1936356,9.66524791717529
11.0169010162354,11.450234413147,10.8935213088989,11.0891227722168,4895555,9.77935981750488
11.1763906478882,11.2125034332275,10.9537057876587,10.9988451004028,7136638,9.69974708557129
10.9777803421021,11.0861139297485,10.7280120849609,10.9506969451904,3321746,9.65728664398193
11.3569469451904,11.8294010162354,11.3148174285889,11.7361135482788,11904255,10.3499336242676
11.6789379119873,11.7210674285889,11.3479194641113,11.4983816146851,5345832,10.1402816772461
11.525465965271,11.5826416015625,11.3509283065796,11.4291687011719,2101513,10.0792427062988
11.4050951004028,11.4803266525269,11.2696781158447,11.3599557876587,4904860,10.0182065963745
11.4020862579346,11.4231510162354,10.9657430648804,11.0590295791626,5004552,9.75282287597656
11.1101875305176,11.2305583953857,10.8574104309082,11.1342620849609,4881598,9.81917190551758
11.2094926834106,11.2395858764648,10.917594909668,11.0891227722168,4984614,9.77935981750488
11.0891227722168,11.1944465637207,10.9206037521362,10.9837989807129,8037856,9.68647861480713
10.9687519073486,11.5224561691284,10.917594909668,11.3148174285889,7769351,9.97839736938477
11.3750028610229,11.7872705459595,11.3750028610229,11.5706043243408,7933179,10.2039756774902
11.5856513977051,11.6127338409424,11.3208360671997,11.435188293457,2923309,10.0845556259155
11.3358821868896,11.3479194641113,10.9837989807129,11.0620403289795,2657131,9.75547790527344
10.9687519073486,11.2756967544556,10.878475189209,11.0891227722168,3131002,9.77935981750488
11.2245397567749,11.4050951004028,11.1462993621826,11.3960666656494,4386792,10.0500516891479
11.3870401382446,11.7722253799438,11.1884279251099,11.7421321868896,4868306,10.355242729187
11.7060213088989,11.7331047058105,11.2486143112183,11.5134286880493,7980699,10.1535530090332
11.5675945281982,11.5675945281982,11.0590295791626,11.0590295791626,5848281,9.75282287597656
11.1523170471191,11.3810205459595,11.0078725814819,11.3599557876587,3860749,10.0182065963745
11.4020862579346,11.8655118942261,11.3358821868896,11.8143548965454,5514976,10.4189357757568
11.7662057876587,11.9347248077393,11.5675945281982,11.6187534332275,5011198,10.2464380264282
11.6819467544556,11.7782430648804,11.6247711181641,11.7060213088989,3720183,10.3233947753906
11.6849555969238,11.8444471359253,11.6849555969238,11.7060213088989,3750423,10.3233947753906
11.8083362579346,12.2567157745361,11.7180576324463,12.1875028610229,6098176,10.748010635376
12.2657442092896,12.337965965271,12.121298789978,12.2567157745361,3887998,10.8090486526489
12.2446794509888,12.2837991714478,11.9016227722168,11.9648180007935,4630374,10.5516262054443
11.8594932556152,12.05810546875,11.5976877212524,11.690975189209,3886337,10.3101282119751
11.8083362579346,11.9046316146851,11.7060213088989,11.8143548965454,2162325,10.4189357757568
11.7511596679688,11.931715965271,11.7511596679688,11.8865766525269,2460073,10.4826316833496
11.907642364502,12.0039377212524,11.6548643112183,11.7932901382446,3187494,10.4003582000732
11.7962989807129,12.0761604309082,11.7932901382446,11.8865766525269,4756651,10.4826316833496
11.7601881027222,11.8203725814819,11.4562530517578,11.5946788787842,3487568,10.2252073287964
11.5826416015625,11.6849555969238,11.4081039428711,11.5405120849609,2092540,10.1774368286133
11.474308013916,11.5675945281982,11.2546319961548,11.3539381027222,4214657,10.0128993988037
11.3719930648804,11.6729192733765,11.3719930648804,11.6729192733765,3338362,10.2942037582397
11.6518535614014,11.8775491714478,11.6277799606323,11.7361135482788,3867395,10.3499336242676
11.880558013916,11.9016227722168,11.7210674285889,11.730094909668,4743358,10.3446254730225
11.7030124664307,11.7571792602539,11.525465965271,11.6458358764648,3011703,10.2703199386597
11.7030124664307,11.7030124664307,11.3449096679688,11.4983816146851,2799026,10.1402816772461
11.639817237854,12.1182899475098,11.5013914108276,12.1092624664307,4687198,10.6790103912354
12.1935205459595,12.3199100494385,12.0069465637207,12.1182899475098,4638681,10.6869716644287
12.1243076324463,12.4733819961548,12.0400485992432,12.2988452911377,4856343,10.8462038040161
12.3831052780151,12.7081050872803,12.2747707366943,12.6118078231812,4751334,11.1221981048584
12.6358833312988,13.2016229629517,12.578706741333,13.0812530517578,7558668,11.5890731811523
13.0511598587036,13.3280124664307,12.5726881027222,12.8224573135376,6678718,11.3597936630249
12.7893552780151,13.1053266525269,12.7231512069702,13.1053266525269,3311777,11.6103973388672
13.0511598587036,13.1143550872803,12.6148176193237,12.744215965271,5213241,11.2904834747314
12.5817155838013,12.8856506347656,12.4914379119873,12.744215965271,5447518,11.2904834747314
12.6118078231812,12.8164377212524,12.5576419830322,12.6388921737671,5648564,11.1971712112427
12.6148176193237,12.7592620849609,12.5967617034912,12.6388921737671,4358878,11.1971712112427
12.5185213088989,12.6990766525269,12.5155124664307,12.668984413147,2710633,11.2238302230835
12.578706741333,12.7803268432617,12.5456047058105,12.6388921737671,4684207,11.1971712112427
12.6388921737671,12.6629657745361,12.5636596679688,12.6328725814819,2983125,11.191837310791
12.6990766525269,12.7081050872803,12.5155124664307,12.5636596679688,2422190,11.1305198669434
12.4372711181641,12.6629657745361,12.4252338409424,12.5395860671997,6071592,11.1091909408569
