"Date","ITUB4.SA.Open","ITUB4.SA.High","ITUB4.SA.Low","ITUB4.SA.Close","ITUB4.SA.Volume","ITUB4.SA.Adjusted"
2017-01-02,20.27272605896,20.4484844207764,20.1878776550293,20.3212127685547,3415665,13.8199520111084
2017-01-03,20.509090423584,21.1939392089844,20.4727268218994,21.1818180084229,27736500,14.4052333831787
2017-01-04,21.0909080505371,21.3515148162842,21.0363636016846,21.27272605896,14981175,14.4670486450195
2017-01-05,21.2666664123535,21.8060607910156,21.0969696044922,21.5636367797852,24187680,14.6648931503296
2017-01-06,21.5393924713135,21.7393932342529,21.3393936157227,21.6363620758057,15419415,14.71435546875
2017-01-09,21.4242420196533,21.8181800842285,21.3212127685547,21.7393932342529,17712915,14.7844247817993
2017-01-10,21.8787860870361,22.018180847168,21.5575752258301,21.6666660308838,12924945,14.7349700927734
2017-01-11,21.8121204376221,21.9090900421143,21.4848480224609,21.7090892791748,12716055,14.7638149261475
2017-01-12,22.1818180084229,22.3333320617676,22,22.2606067657471,23724690,15.1388845443726
2017-01-13,22.1818180084229,22.3757572174072,21.6545448303223,21.8060607910156,11493735,14.8297605514526
2017-01-16,21.8060607910156,21.8909091949463,21.6363620758057,21.8242416381836,6151035,14.8421277999878
2017-01-17,21.7575740814209,22.4606056213379,21.6909084320068,22.4121208190918,17174685,15.2419214248657
2017-01-18,22.5151500701904,22.5151500701904,22.1333332061768,22.2363624572754,13268640,15.1223945617676
2017-01-19,22.2484836578369,22.490909576416,21.9333324432373,22.1151504516602,14273985,15.0399618148804
2017-01-20,22.2363624572754,22.3878784179688,22.0060596466064,22.1818180084229,17803500,15.0853080749512
2017-01-23,22.1515140533447,22.9272727966309,22.0909080505371,22.9272727966309,21547845,15.5922727584839
2017-01-24,22.8181800842285,23,22.5636367797852,22.8727264404297,18746145,15.5551729202271
2017-01-26,23.0303020477295,23.3515148162842,22.9939384460449,23.1818180084229,22617870,15.7653770446777
2017-01-27,23.27272605896,23.3818187713623,23,23.0606060028076,15085785,15.6829442977905
