"Date","BRKM5.SA.Open","BRKM5.SA.High","BRKM5.SA.Low","BRKM5.SA.Close","BRKM5.SA.Volume","BRKM5.SA.Adjusted"
2017-01-02,34.0400009155273,34.0999984741211,33.3300018310547,34,486500,25.1452312469482
2017-01-03,34.2900009155273,35.9799995422363,34.0699996948242,35.939998626709,1377000,26.5799884796143
2017-01-04,35.7700004577637,36.75,35,35.3300018310547,1573000,26.1288566589355
2017-01-05,35.6599998474121,36.5999984741211,35.3499984741211,35.75,997600,26.4394760131836
2017-01-06,35.75,35.8899993896484,34.7999992370605,35.0499992370605,755300,25.9217758178711
2017-01-09,35.25,35.4500007629395,34.9000015258789,35.1699981689453,642200,26.0105228424072
2017-01-10,35.6399993896484,36.1399993896484,35.189998626709,35.4900016784668,987900,26.2471866607666
2017-01-11,35.8899993896484,36.8499984741211,35.75,35.8499984741211,1287000,26.5134239196777
2017-01-12,36.4500007629395,36.9900016784668,36.25,36.4199981689453,1376900,26.9349784851074
2017-01-13,36.5200004577637,36.7000007629395,35.3600006103516,35.5400009155273,964100,26.2841663360596
2017-01-16,35.5400009155273,36.2900009155273,35.2299995422363,35.2900009155273,762100,26.0992736816406
2017-01-17,35.5699996948242,35.7900009155273,34.8600006103516,35.189998626709,903200,26.0253124237061
2017-01-18,35.5800018310547,35.5999984741211,35.060001373291,35.2000007629395,1383200,26.03271484375
2017-01-19,35.5099983215332,35.5499992370605,34.3499984741211,34.6500015258789,861400,25.6259517669678
2017-01-20,34.6500015258789,35.0999984741211,34.6100006103516,34.7900009155273,892300,25.7294902801514
2017-01-23,35.0699996948242,35.6500015258789,34.8400001525879,35.25,875900,26.0696907043457
2017-01-24,35.4700012207031,35.5999984741211,34.2700004577637,34.3699989318848,1972400,25.4188709259033
2017-01-26,34.7999992370605,35.0499992370605,33.5,34,2026800,25.1452312469482
2017-01-27,34.2000007629395,34.4900016784668,33.7299995422363,34.2000007629395,815600,25.2931461334229
2017-01-30,34.0999984741211,34.0999984741211,32.6199989318848,32.7999992370605,1203700,24.2577533721924
2017-01-31,32.9599990844727,33.060001373291,32.2200012207031,32.5400009155273,675100,24.0654678344727
2017-02-01,32.7400016784668,33.1500015258789,32.0200004577637,32.2099990844727,894600,23.8214111328125
2017-02-02,32.0099983215332,32.5,32,32.0299987792969,782600,23.6882858276367
2017-02-03,31.6299991607666,31.6299991607666,30.4500007629395,30.8099994659424,2347700,22.7860164642334
2017-02-06,31.1200008392334,32.4599990844727,31.1200008392334,31.2700004577637,1079200,23.1262187957764
2017-02-07,31.2999992370605,32.7999992370605,31.2999992370605,32.75,1598100,24.220775604248
2017-02-08,32.7999992370605,33.810001373291,32.5699996948242,33.810001373291,1200000,25.0047149658203
2017-02-09,33.8300018310547,34.25,33.25,33.9199981689453,1075100,25.0860652923584
2017-02-10,33.9900016784668,34.5499992370605,32.9500007629395,33.9500007629395,1587000,25.1082534790039
2017-02-13,33.9500007629395,34.2799987792969,33.5400009155273,33.9500007629395,595500,25.1082534790039
2017-02-14,33.9500007629395,34.2000007629395,33.560001373291,33.8899993896484,732200,25.0638790130615
2017-02-15,33.8699989318848,34.1199989318848,32.5999984741211,32.8199996948242,1740600,24.2725448608398
2017-02-16,33.0200004577637,34.2000007629395,32.8199996948242,33.1399993896484,1234100,24.509204864502
2017-02-17,33.0299987792969,33.6399993896484,32.8800010681152,33.1100006103516,711300,24.4870204925537
2017-02-20,33.4300003051758,34.189998626709,33.1100006103516,34.189998626709,779200,25.2857475280762
2017-02-21,34.25,34.9900016784668,33.5499992370605,34.2299995422363,1097900,25.3153305053711
2017-02-22,33.2000007629395,34.5699996948242,32.7999992370605,34.0999984741211,1979000,25.2191867828369
2017-02-23,34.1599998474121,34.5699996948242,32.6300010681152,33.060001373291,1327700,24.4500427246094
2017-02-24,33.060001373291,33.25,32.0699996948242,32.3300018310547,1592200,23.9101581573486
2017-03-01,32.7299995422363,33.0800018310547,32.2400016784668,32.6800003051758,1487100,24.1690063476562
2017-03-02,32.7099990844727,33.5099983215332,31.9599990844727,32.3699989318848,1650200,23.9397411346436
2017-03-03,32.560001373291,32.6399993896484,31.5300006866455,31.9899997711182,1652300,23.6587066650391
2017-03-06,32,32.3600006103516,31.1399993896484,31.9799995422363,1502700,23.651309967041
2017-03-07,31.9799995422363,32.0999984741211,30.6200008392334,30.8600006103516,2442800,22.8229961395264
2017-03-08,31.1100006103516,31.1200008392334,30.0100002288818,30.5499992370605,2219200,22.593729019165
2017-03-09,30.5300006866455,31,30.1800003051758,30.5799999237061,870100,22.6159191131592
2017-03-10,31,31.4500007629395,30.5499992370605,30.6100006103516,1272900,22.6381053924561
2017-03-13,31.0100002288818,31.3199996948242,30.6599998474121,31.1800003051758,1121100,23.0596561431885
2017-03-14,31.2800006866455,31.2900009155273,30.2900009155273,30.3999996185303,1505800,22.4827938079834
2017-03-15,30.5200004577637,31.7000007629395,30.5200004577637,31.4699993133545,2181900,23.2741317749023
2017-03-16,31.7099990844727,32.0299987792969,31.5799999237061,31.6499996185303,1341600,23.4072551727295
2017-03-17,31.8999996185303,32.1100006103516,31,31,1894600,22.92653465271
2017-03-20,30.9500007629395,32,30.7099990844727,31.7999992370605,1028700,23.5181884765625
2017-03-21,32,32,30.5200004577637,30.9400005340576,1328100,22.8821620941162
2017-03-22,31.0499992370605,31.3600006103516,30.3600006103516,31.0100002288818,1255700,22.933931350708
2017-03-23,31,31.6900005340576,30.5599994659424,31.5400009155273,1321200,23.3259010314941
2017-03-24,31.5300006866455,32.5,31.3999996185303,31.5599994659424,1854300,23.3406925201416
2017-03-27,31.5,32.6800003051758,31.1900005340576,32.2799987792969,1279200,23.873176574707
2017-03-28,32.1599998474121,32.1599998474121,30.5900001525879,31.75,2723600,23.4812126159668
2017-03-29,31.9500007629395,32.3300018310547,31.6599998474121,32.189998626709,1337200,23.806619644165
2017-03-30,32.189998626709,32.3400001525879,31.3199996948242,31.5400009155273,1956900,23.3259010314941
2017-03-31,31.3999996185303,32.0900001525879,31.1000003814697,31.75,1288400,23.4812126159668
2017-04-03,31.8999996185303,32.1699981689453,31.3400001525879,31.9099998474121,2915100,23.5995407104492
2017-04-04,32.0900001525879,32.9199981689453,31.8899993896484,32.8800010681152,2834200,24.3169193267822
2017-04-05,33.0800018310547,33.2700004577637,32.4500007629395,32.5800018310547,2822200,24.0950489044189
2017-04-06,32.4900016784668,32.9000015258789,32.4700012207031,32.7400016784668,2755600,24.2133808135986
2017-04-07,32.4000015258789,33.7000007629395,30.0400009155273,33.2999992370605,6818500,24.627534866333
2017-04-10,33.3199996948242,34.2900009155273,32.8199996948242,33.1800003051758,2182100,24.5387878417969
2017-04-11,33.4500007629395,34.1800003051758,32.8800010681152,33.4300003051758,1907200,24.7236785888672
2017-04-12,33.3699989318848,33.6599998474121,31.8500003814697,32.7000007629395,2980600,24.1837997436523
2017-04-13,32.4599990844727,32.560001373291,31.6000003814697,31.9899997711182,1779200,23.6587066650391
2017-04-17,31.7099990844727,31.9300003051758,30.7299995422363,31.0900001525879,2063700,22.9930973052979
2017-04-18,31.2000007629395,31.9699993133545,30.5799999237061,31.6499996185303,2220100,23.4072551727295
2017-04-19,31.7000007629395,31.9799995422363,31,31.0300006866455,1185700,22.9487228393555
2017-04-20,31.3600006103516,31.9899997711182,31.3400001525879,31.8500003814697,1172300,23.5551681518555
2017-04-24,32.4799995422363,33.1199989318848,32.0499992370605,32.7999992370605,1418300,24.2577533721924
2017-04-25,32.7999992370605,33.4799995422363,32.3199996948242,33.4300003051758,2866600,24.7236785888672
2017-04-26,33.4199981689453,33.9199981689453,33.0999984741211,33.4900016784668,1125500,24.7680568695068
2017-04-27,33.7000007629395,34,33,33.75,1815600,24.9603404998779
2017-04-28,33.75,34.3499984741211,33.75,34.1399993896484,1062600,25.2487697601318
2017-05-02,34,35.1599998474121,33.8899993896484,34.4300003051758,1252100,25.4632453918457
2017-05-03,34.5999984741211,35.0999984741211,34.3199996948242,34.4300003051758,1137300,25.4632453918457
2017-05-04,34.7000007629395,34.7000007629395,33.4000015258789,33.7299995422363,1147800,24.9455471038818
2017-05-05,33.7400016784668,34.310001373291,33.560001373291,33.9599990844727,748800,25.1156482696533
2017-05-08,34.1300010681152,34.5800018310547,33.8199996948242,33.9599990844727,1041900,25.1156482696533
2017-05-09,34.0900001525879,35,33.9300003051758,34.810001373291,1102500,25.7442817687988
2017-05-10,34.9500007629395,35.3899993896484,34.25,34.5900001525879,1081700,25.5815773010254
2017-05-11,34.689998626709,34.8600006103516,33.9500007629395,34.1199989318848,716300,25.233980178833
2017-05-12,34.2000007629395,34.5499992370605,33.7999992370605,33.9799995422363,865300,25.1304416656494
2017-05-15,35,35.2700004577637,33.0400009155273,33.25,2583600,24.5905590057373
2017-05-16,33.3899993896484,33.7299995422363,32.2900009155273,32.75,2182000,24.220775604248
2017-05-17,32.7599983215332,32.9099998474121,31.3799991607666,31.8600006103516,2249800,23.5625629425049
2017-05-18,28.0699996948242,32.5999984741211,28.0699996948242,31.7600002288818,4976900,23.4886074066162
2017-05-19,31.7600002288818,32.5900001525879,31.1700000762939,31.4200000762939,3300600,23.237154006958
2017-05-22,31.4200000762939,31.8400001525879,30.5599994659424,31.5599994659424,2046000,23.3406925201416
2017-05-23,31.4799995422363,32.9000015258789,31.4099998474121,32.7000007629395,1249400,24.1837997436523
2017-05-24,33,33.5,32.5800018310547,32.6300010681152,1113800,24.1320285797119
2017-05-25,32.7900009155273,33.7400016784668,32.4799995422363,33.3300018310547,1454200,24.6497230529785
2017-05-26,33.3499984741211,33.8199996948242,33.2000007629395,33.5900001525879,1498600,24.8420104980469
2017-05-29,33.5900001525879,33.5900001525879,33.5900001525879,33.5900001525879,0,24.8420104980469
2017-05-30,33.7000007629395,34.3699989318848,33.7000007629395,34,1652900,25.1452312469482
2017-05-31,33.9900016784668,34.2000007629395,33.0999984741211,33.1300010681152,3667500,24.5018119812012
2017-06-01,33.3300018310547,33.8699989318848,33.1500015258789,33.5400009155273,2361700,24.8050308227539
2017-06-02,33.6399993896484,34.0299987792969,33.1699981689453,33.6599998474121,1129200,24.89377784729
2017-06-05,33.6500015258789,34.9799995422363,33.2700004577637,34.5400009155273,1840100,25.5445995330811
2017-06-06,34.5900001525879,34.9799995422363,33.9199981689453,34.0400009155273,1543500,25.1748161315918
2017-06-07,34.2099990844727,34.9199981689453,34.2099990844727,34.7400016784668,1016800,25.692512512207
2017-06-08,34.5800018310547,35,34.3899993896484,34.689998626709,1012300,25.6555328369141
2017-06-09,34.7999992370605,35.189998626709,33.7099990844727,33.7999992370605,1477300,24.9973182678223
2017-06-12,33.7999992370605,33.810001373291,32.7599983215332,33.4300003051758,1433900,24.7236785888672
2017-06-13,33.310001373291,33.6100006103516,32.8300018310547,33.1199989318848,616700,24.4944152832031
2017-06-14,33.1300010681152,33.3499984741211,32.1500015258789,32.3499984741211,1996500,23.9249496459961
2017-06-15,32.3499984741211,32.3499984741211,32.3499984741211,32.3499984741211,0,23.9249496459961
2017-06-16,32.2000007629395,33.1300010681152,31.9699993133545,32.5800018310547,2337900,24.0950489044189
2017-06-19,32.7999992370605,33.9099998474121,32.7999992370605,33.2299995422363,1618500,24.5757675170898
2017-06-20,33.2900009155273,33.4199981689453,31.9300003051758,32.2799987792969,1305500,23.873176574707
2017-06-21,32.5999984741211,32.6800003051758,31.5599994659424,31.9300003051758,1357800,23.6143321990967
2017-06-22,32.2200012207031,32.7799987792969,32.2000007629395,32.4700012207031,893700,24.0136985778809
2017-06-23,32.6599998474121,32.689998626709,32.1399993896484,32.4099998474121,652900,23.9693222045898
2017-06-26,32.6100006103516,32.9000015258789,32.2000007629395,32.560001373291,708100,24.0802593231201
2017-06-27,32.7099990844727,32.9900016784668,32.1399993896484,32.8699989318848,1114000,24.3095226287842
2017-06-28,33,33.6800003051758,32.8899993896484,33.4199981689453,911900,24.7162857055664
2017-06-29,33.5499992370605,34.0699996948242,33.2799987792969,33.7900009155273,788400,24.9899253845215
2017-06-30,33.8300018310547,34.5400009155273,33.689998626709,34.2000007629395,1540700,25.2931461334229
2017-07-03,34.2000007629395,34.7900009155273,33.8499984741211,34.0999984741211,1898700,25.2191867828369
2017-07-04,34.0900001525879,34.7900009155273,33.9700012207031,34.3499984741211,425300,25.4040794372559
2017-07-05,34.2400016784668,35.0999984741211,34.2400016784668,34.3400001525879,1368500,25.3966827392578
2017-07-06,34.5,34.5900001525879,33.310001373291,33.7999992370605,1421800,24.9973182678223
2017-07-07,33.810001373291,34.1699981689453,33.0699996948242,33.560001373291,1215400,24.8198261260986
2017-07-10,33.5800018310547,34.75,33.5800018310547,34.4900016784668,1247100,25.5076217651367
2017-07-11,34.6500015258789,34.8199996948242,34.0499992370605,34.5699996948242,767900,25.5667839050293
2017-07-12,34.8899993896484,35.2099990844727,34.4099998474121,35.0900001525879,1314500,25.9513607025146
2017-07-13,35.0900001525879,35.7799987792969,35.0299987792969,35.5,1234800,26.2545833587646
2017-07-14,35.6199989318848,36.1199989318848,35.4599990844727,36.1199989318848,871300,26.7131080627441
2017-07-17,36.4000015258789,38.7299995422363,36.3899993896484,38,2028100,28.1034965515137
2017-07-18,37.9000015258789,38.4599990844727,37.5900001525879,38.2599983215332,1500200,28.295783996582
2017-07-19,38.8499984741211,39.560001373291,38.75,39.2599983215332,2297800,29.0353507995605
2017-07-20,39.4500007629395,40.2200012207031,39.3400001525879,39.8800010681152,2068100,29.4938774108887
2017-07-21,39.8699989318848,40,38.4900016784668,38.8499984741211,2538100,28.7321243286133
2017-07-24,38.8300018310547,38.8400001525879,37.8800010681152,38.2400016784668,1427100,28.2809886932373
2017-07-25,38.0800018310547,38.7299995422363,38.0800018310547,38.5099983215332,1437300,28.4806747436523
2017-07-26,38.5999984741211,38.75,38.0200004577637,38.4300003051758,1262800,28.4215106964111
2017-07-27,38.6699981689453,38.7999992370605,37.9199981689453,38,1429100,28.1034965515137
2017-07-28,38.3400001525879,38.3400001525879,37.5,37.7400016784668,921300,27.9112071990967
2017-07-31,37.7400016784668,37.9900016784668,37.1100006103516,37.310001373291,907400,27.5931949615479
2017-08-01,37.1500015258789,37.560001373291,37.1500015258789,37.3800010681152,900900,27.644962310791
2017-08-02,37.4900016784668,39.2000007629395,37.25,38.8600006103516,3001300,28.7395210266113
2017-08-03,38.9599990844727,38.9599990844727,37.8899993896484,38.2200012207031,2156500,28.2662010192871
2017-08-04,38.6500015258789,39.9900016784668,38.6500015258789,39.7700004577637,1754900,29.4125213623047
2017-08-07,39.75,40.1199989318848,39.75,40,1228900,29.5826263427734
2017-08-08,40,40.0699996948242,38.7999992370605,39.1100006103516,1318500,28.9244117736816
2017-08-09,39.0800018310547,39.0800018310547,38.2400016784668,38.5999984741211,966400,28.547233581543
2017-08-10,38.689998626709,38.9300003051758,37.4099998474121,37.8600006103516,968500,27.9999580383301
2017-08-11,37.5800018310547,38.3199996948242,37.2599983215332,37.7299995422363,1285300,27.9038124084473
2017-08-14,37.560001373291,38.7000007629395,37.3899993896484,38.3499984741211,1113500,28.3623447418213
2017-08-15,38.4000015258789,38.8499984741211,37.9799995422363,38.0400009155273,1495900,28.1330795288086
2017-08-16,39,39.75,38.3899993896484,38.6500015258789,1931200,28.5842132568359
2017-08-17,38.6800003051758,38.6800003051758,37.6699981689453,37.7799987792969,1217500,27.9407901763916
2017-08-18,37.9700012207031,38.2200012207031,36.8699989318848,37.7999992370605,1438700,27.9555835723877
2017-08-21,37.7999992370605,38.1199989318848,36.6599998474121,37.3899993896484,1802900,27.6523590087891
2017-08-22,37.5,37.9900016784668,37.189998626709,37.3899993896484,1109100,27.6523590087891
