"Date","YDUQ3.SA.Open","YDUQ3.SA.High","YDUQ3.SA.Low","YDUQ3.SA.Close","YDUQ3.SA.Volume","YDUQ3.SA.Adjusted"
2017-01-02,15.8000001907349,15.8000001907349,15.4099998474121,15.4499998092651,763000,12.9493684768677
2017-01-03,15.6199998855591,16.3099994659424,15.460000038147,16.3099994659424,1614600,13.6701745986938
2017-01-04,16.3899993896484,16.4500007629395,15.8500003814697,16.2299995422363,1562700,13.6031246185303
2017-01-05,16.2399997711182,16.3899993896484,15.8699998855591,15.9700002670288,1593300,13.3852071762085
2017-01-06,15.9799995422363,16.1000003814697,15.75,15.8500003814697,1543800,13.2846298217773
2017-01-09,15.8900003433228,16,15.5100002288818,15.7700004577637,1034400,13.2175750732422
2017-01-10,15.8999996185303,15.9499998092651,15.6499996185303,15.7399997711182,1981800,13.1924314498901
2017-01-11,15.7399997711182,15.9300003051758,15.3599996566772,15.5500001907349,873100,13.0331830978394
2017-01-12,15.9700002670288,16.7099990844727,15.75,16.1000003814697,4868200,13.4941663742065
2017-01-13,15.9200000762939,16.6000003814697,15.9200000762939,16.5,4137500,13.8294239044189
2017-01-16,16.5,16.6700000762939,16.3999996185303,16.5900001525879,1061500,13.9048566818237
2017-01-17,16.6000003814697,17.5499992370605,16.5300006866455,17.2600002288818,2316800,14.4664154052734
2017-01-18,17.2600002288818,17.2600002288818,16.6499996185303,16.9599990844727,3667300,14.2149705886841
2017-01-19,16.9599990844727,17.1700000762939,16.2700004577637,16.4099998474121,10741400,13.7539911270142
2017-01-20,16.5300006866455,16.7399997711182,16.3799991607666,16.5200004577637,926200,13.8461866378784
2017-01-23,16.5599994659424,16.5900001525879,15.7200002670288,16.0499992370605,1877800,13.4522571563721
2017-01-24,16.0499992370605,16.2399997711182,15.9200000762939,16.0699996948242,1552200,13.4690198898315
2017-01-26,16.2299995422363,16.6000003814697,16.1800003051758,16.3700008392334,1801500,13.7204647064209
2017-01-27,16.3700008392334,16.8999996185303,16.1499996185303,16.7099990844727,1182800,14.0054330825806
2017-01-30,16.6000003814697,16.7999992370605,16.1000003814697,16.3999996185303,1317900,13.7456083297729
2017-01-31,16.4099998474121,16.4400005340576,15.789999961853,15.8999996185303,1000600,13.3265352249146
2017-02-01,16,16.1299991607666,15.2799997329712,15.5299997329712,2268800,13.0164213180542
2017-02-02,15.5,16.1499996185303,15.3199996948242,15.9899997711182,1432000,13.4019689559937
2017-02-03,15.9899997711182,16.1499996185303,15.1800003051758,15.4899997711182,3176900,12.9828948974609
2017-02-06,15,15.4300003051758,14.6700000762939,15.0600004196167,5383800,12.6224927902222
2017-02-07,14.8699998855591,14.9700002670288,14.5,14.5500001907349,3279200,12.1950368881226
2017-02-08,14.6099996566772,14.6999998092651,14.0799999237061,14.1499996185303,3150400,11.8597784042358
2017-02-09,14.1499996185303,14.6000003814697,14.0299997329712,14.5500001907349,1788400,12.1950368881226
2017-02-10,14.5600004196167,14.8299999237061,14.3400001525879,14.6999998092651,1420700,12.3207578659058
2017-02-13,14.8000001907349,14.9200000762939,14.5299997329712,14.8500003814697,984500,12.4464807510376
