"VALE3.SA.Open","VALE3.SA.High","VALE3.SA.Low","VALE3.SA.Close","VALE3.SA.Volume","VALE3.SA.Adjusted"
25.2800006866455,25.4899997711182,25.0499992370605,25.0599994659424,1118500,14.5260715484619
25.5100002288818,26.1700000762939,25.3999996185303,26.1700000762939,5658500,15.1694831848145
26.0599994659424,26.2299995422363,25.3600006103516,25.7000007629395,2144400,14.897047996521
25.9799995422363,26.8999996185303,25.7800006866455,26.6800003051758,4031600,15.4651050567627
26.2900009155273,26.5900001525879,25.8600006103516,25.9699993133545,4213500,15.0535535812378
26.2999992370605,26.8500003814697,26.2700004577637,26.5,3407800,15.3607711791992
27.4200000762939,28.5400009155273,27.4200000762939,28.5400009155273,3606500,16.5432605743408
28.8099994659424,29.1900005340576,28.3299999237061,29.1299991607666,3499900,16.88525390625
30.0799999237061,30.4200000762939,29.7099990844727,30.0699996948242,5500500,17.4301261901855
29.8899993896484,31.2000007629395,29.7000007629395,30.9799995422363,4424800,17.9576091766357
31.2000007629395,32.1100006103516,31.2000007629395,31.8199996948242,2018500,18.4445171356201
31.2299995422363,31.2999992370605,30.4899997711182,30.5699996948242,5968500,17.7199535369873
30.3500003814697,32.689998626709,30.3500003814697,32.1100006103516,14846300,18.6126174926758
32,32.0200004577637,31.0300006866455,31.4699993133545,5303100,18.2416381835938
30.9899997711182,32.4300003051758,30.9500007629395,32.0999984741211,6309700,18.6068172454834
32.2099990844727,33.4799995422363,32.189998626709,33.310001373291,4369600,19.3081970214844
34.0699996948242,34.7200012207031,33.2700004577637,34.1300010681152,5373900,19.7835121154785
34.4199981689453,34.6300010681152,33.5999984741211,33.5999984741211,5274700,19.47629737854
33.4799995422363,34.2000007629395,33.4099998474121,33.7000007629395,3244000,19.5342617034912
33.2200012207031,33.4900016784668,32.1399993896484,32.25,3136800,18.6937637329102
32.7000007629395,32.9500007629395,32.1100006103516,32.1800003051758,4067300,18.653190612793
32.7000007629395,33.5099983215332,32.6800003051758,32.8899993896484,5928500,19.0647449493408
32.4099998474121,33.439998626709,32.4099998474121,32.6599998474121,4024400,18.9314250946045
32,32,30.3899993896484,30.6100006103516,6833500,17.7431373596191
30.6599998474121,30.7700004577637,29.8700008392334,29.9200000762939,3554600,17.3431797027588
30.6399993896484,31.3299999237061,30.0799999237061,30.2399997711182,4297100,17.5286674499512
30.7900009155273,30.8199996948242,30.0400009155273,30.5900001525879,3867100,17.7315464019775
30.5200004577637,31.3500003814697,30.2600002288818,31.0799999237061,4011900,18.0155735015869
32.1599998474121,32.7999992370605,32.0999984741211,32.7999992370605,5036400,19.0125770568848
34.2099990844727,35.8499984741211,34.0200004577637,35.810001373291,11344600,20.7573299407959
35.5299987792969,35.560001373291,34.0299987792969,34.4000015258789,4651000,19.9400196075439
34.7000007629395,34.75,33.689998626709,33.8199996948242,6626600,19.6038188934326
33.7799987792969,34.439998626709,33.6199989318848,33.7700004577637,5231900,19.5748386383057
33.6100006103516,34.2999992370605,33.3899993896484,34.0699996948242,5909200,19.7487316131592
35.8899993896484,36.560001373291,35.7799987792969,36.4300003051758,6047300,21.1167087554932
36.8400001525879,37.2799987792969,35.2799987792969,35.5400009155273,6307900,20.6008224487305
35.3300018310547,35.3300018310547,34.0299987792969,34.689998626709,6845300,20.1081123352051
35.189998626709,35.25,32.7999992370605,33.1699981689453,12566100,19.2270450592041
32.1500015258789,33.9099998474121,32,32.7200012207031,9984400,18.9662036895752
33.0499992370605,33.3800010681152,32.8499984741211,33.1699981689453,3262200,19.2270450592041
33.2999992370605,33.5999984741211,31.3500003814697,31.4599990844727,6860100,18.23583984375
31.8899993896484,32.2900009155273,31.3600006103516,31.8199996948242,6887300,18.4445171356201
31.3999996185303,31.6100006103516,30.6800003051758,31.1000003814697,6393900,18.0271663665771
31.1900005340576,31.8700008392334,30.7999992370605,30.9200000762939,6653500,17.922830581665
31.2199993133545,31.3500003814697,29.8299999237061,30.1200008392334,5789100,17.4591102600098
29.4500007629395,30.5799999237061,29.0699996948242,30.1800003051758,8743900,17.4938888549805
30.6599998474121,31.0200004577637,29.6499996185303,29.6499996185303,5574100,17.186674118042
30.7399997711182,31.3799991607666,30.7000007629395,31.0100002288818,5780300,17.9749984741211
30.75,31.5,30.2900009155273,31.1700000762939,4101000,18.067741394043
31.9099998474121,33.3199996948242,31.5699996948242,33.3199996948242,7401600,19.3139934539795
33.6199989318848,33.8400001525879,32.2799987792969,32.5299987792969,4529000,18.8560695648193
32.689998626709,32.7700004577637,31.2999992370605,31.2999992370605,14673300,18.1430950164795
31.1499996185303,31.8899993896484,30.8999996185303,31.6299991607666,3340900,18.3343849182129
30.8899993896484,30.9699993133545,28.9500007629395,29.0400009155273,6509400,16.8330860137939
28.4500007629395,30.0799999237061,28.2900009155273,29.3999996185303,7020200,17.0417575836182
29.0400009155273,29.6299991607666,28.4300003051758,29.2399997711182,7074400,16.9490127563477
29.5,29.5100002288818,28.5499992370605,29,3917800,16.8098964691162
27.9899997711182,29.6200008392334,27.25,29.3899993896484,6849000,17.035961151123
29.6700000762939,30,29.3600006103516,29.8099994659424,4456400,17.2794208526611
30.0799999237061,30.5200004577637,29.5499992370605,30.1100006103516,3106200,17.453311920166
30,30.3899993896484,29.75,30.1000003814697,2264400,17.4475193023682
29.5300006866455,30.3500003814697,29.2900009155273,29.7900009155273,4009400,17.2678241729736
29.8099994659424,30,29.0900001525879,29.5100002288818,4092200,17.1055183410645
29.5599994659424,30.7099990844727,29.2999992370605,30.6499996185303,2444400,17.7663230895996
