"EQTL3.SA.Open","EQTL3.SA.High","EQTL3.SA.Low","EQTL3.SA.Close","EQTL3.SA.Volume","EQTL3.SA.Adjusted"
10.8671426773071,11.0828866958618,10.7512798309326,10.9370603561401,2005870,9.57421684265137
11.0589160919189,11.0589160919189,10.8671426773071,10.9150857925415,6182806,9.55498123168945
10.8651447296143,11.0709018707275,10.8132057189941,10.9570360183716,10680120,9.59170341491699
10.9750146865845,11.074896812439,10.8891172409058,10.9370603561401,7711112,9.57421684265137
10.8871192932129,10.9790096282959,10.7013387680054,10.8871192932129,4531354,9.5305004119873
10.8891172409058,11.0129699707031,10.7712564468384,10.8172016143799,4335122,9.46929454803467
10.9170837402344,10.955039024353,10.6873550415039,10.6873550415039,3909620,9.35562705993652
10.6853580474854,10.7932300567627,10.5654993057251,10.6314210891724,3662828,9.30666255950928
10.9870014190674,11.1967525482178,10.815203666687,10.9210786819458,11813960,9.560227394104
10.8471660614014,11.0689039230347,10.8191986083984,11.0269536972046,4276053,9.652907371521
11.0389394760132,11.0389394760132,10.7912321090698,10.8511619567871,2472922,9.49902248382568
10.8012208938599,11.0968713760376,10.6394119262695,10.9969892501831,5883452,9.62667942047119
11.0029821395874,11.074896812439,10.9330654144287,10.9330654144287,2775279,9.57072162628174
10.945050239563,11.1248378753662,10.9050979614258,11.0848846435547,4378674,9.70361995697021
11.0768938064575,11.2566823959351,11.0768938064575,11.2566823959351,4455765,9.85401344299316
11.2566823959351,11.5543298721313,11.192756652832,11.5143766403198,5598615,10.0795955657959
11.5163736343384,11.6222486495972,11.4104995727539,11.6222486495972,2743742,10.1740255355835
11.6542110443115,11.8160200119019,11.6062679290771,11.6861743927002,5479975,10.2299871444702
11.6881713867188,11.8080291748047,11.5243654251099,11.57630443573,3112678,10.1338052749634
11.57630443573,11.6342353820801,11.3905229568481,11.4844121932983,2191589,10.0533638000488
11.4864101409912,11.728123664856,11.4164934158325,11.6062679290771,3050604,10.1600360870361
11.7201328277588,11.7900514602661,11.4304761886597,11.4624376296997,5599617,10.0341281890869
11.436469078064,11.5822973251343,11.3645544052124,11.4744243621826,4080321,10.0446214675903
11.4944000244141,11.7640810012817,11.3865280151367,11.5363512039185,9013651,10.0988321304321
11.5942821502686,11.6961622238159,11.3365869522095,11.3625564575195,3660325,9.94669437408447
11.4065036773682,11.4184904098511,11.2227220535278,11.3206062316895,7400244,9.9099702835083
11.3745422363281,11.5483369827271,11.2606773376465,11.5163736343384,6580275,10.0813446044922
11.5483369827271,11.5862922668457,11.3206062316895,11.4584426879883,3539682,10.0306310653687
11.4045066833496,11.4944000244141,11.3405818939209,11.4244832992554,3343450,10.0009050369263
11.4644355773926,11.5283603668213,11.3485727310181,11.4644355773926,4991398,10.0358772277832
11.4744243621826,11.5303583145142,11.3066234588623,11.4864101409912,4223490,10.0551137924194
11.57630443573,11.7241287231445,11.4404640197754,11.5862922668457,5449439,10.1425495147705
11.6222486495972,11.9318828582764,11.5163736343384,11.9019184112549,6611813,10.4188470840454
11.883939743042,11.883939743042,11.6162557601929,11.6482191085815,4114361,10.1967601776123
11.6482191085815,11.8639631271362,11.6322374343872,11.7860546112061,2347273,10.3174209594727
11.7780647277832,12.0157842636108,11.7461032867432,12.0157842636108,3375989,10.5185251235962
12.0057945251465,12.0737152099609,11.8339986801147,11.9778289794922,5290251,10.4852981567383
12.0537385940552,12.1516227722168,11.9718360900879,12.0717172622681,4501819,10.5674877166748
11.9278879165649,12.0377578735352,11.770073890686,11.8899326324463,5137070,10.4083547592163
11.9638452529907,12.3793535232544,11.8659610748291,11.9218950271606,3082642,10.436333656311
11.9218950271606,11.9998025894165,11.7181358337402,11.770073890686,2404841,10.303430557251
11.7720718383789,12.0077934265137,11.6981592178345,11.9458656311035,2620096,10.4573163986206
11.9498615264893,11.985818862915,11.7900514602661,11.985818862915,2832847,10.4922933578491
11.9618473052979,12.0117883682251,11.8559732437134,11.9039163589478,2909438,10.4205961227417
11.9258899688721,11.9878168106079,11.7181358337402,11.7401103973389,3125193,10.2772016525269
11.5363512039185,11.7201328277588,11.1448135375977,11.3365869522095,8861471,9.92395973205566
11.3865280151367,11.5603218078613,11.3006296157837,11.5163736343384,4830708,10.0813446044922
11.5203695297241,11.5303583145142,11.2486906051636,11.2686681747437,8262764,9.86450481414795
11.2666702270508,11.3505706787109,11.0269536972046,11.0329456329346,5791844,9.65815448760986
11.0349435806274,11.4844121932983,11.0289506912231,11.3685493469238,7681076,9.95193862915039
11.4444599151611,11.6182537078857,11.2966337203979,11.376540184021,5052470,9.95893478393555
11.4005117416382,11.5663146972656,11.0569181442261,11.2586793899536,7562937,9.8557596206665
11.1488094329834,11.3965158462524,10.9770126342773,11.1148500442505,9014652,9.7298526763916
11.1308307647705,11.1308307647705,10.7872371673584,10.9670238494873,11108627,9.60044574737549
10.9630289077759,11.0669059753418,10.9170837402344,11.0349435806274,7425775,9.65990352630615
11.0049800872803,11.2866458892822,10.9969892501831,11.1068592071533,8025483,9.72285652160645
11.1508073806763,11.5363512039185,11.0868825912476,11.4664335250854,9793072,10.0376262664795
11.4604406356812,11.5343532562256,11.2886438369751,11.3665523529053,6652361,9.9501895904541
11.3985137939453,11.4704294204712,11.2946367263794,11.3865280151367,3770956,9.96767711639404
11.408501625061,11.4983959197998,11.2866458892822,11.4844121932983,3263856,10.0533638000488
11.4963979721069,11.6142587661743,11.4404640197754,11.59228515625,4955856,10.1477956771851
11.5423440933228,11.7900514602661,11.5263633728027,11.7441053390503,5835395,10.2806978225708
