"SBSP3.SA.Open","SBSP3.SA.High","SBSP3.SA.Low","SBSP3.SA.Close","SBSP3.SA.Volume","SBSP3.SA.Adjusted"
28.4500007629395,28.6599998474121,27.2700004577637,28.3700008392334,536100,23.223596572876
28.6700000762939,28.8500003814697,28.3899993896484,28.7000007629395,1317900,23.4937343597412
28.4599990844727,29.7399997711182,28.4599990844727,29.5300006866455,1305700,24.173168182373
29.7199993133545,29.8700008392334,29.1700000762939,29.6100006103516,1281100,24.2386569976807
29.6100006103516,29.6599998474121,28.8500003814697,29.1800003051758,828700,23.8866596221924
29.4500007629395,29.9599990844727,29.0799999237061,29.3099994659424,998700,23.9930763244629
29.4899997711182,29.5499992370605,28.8500003814697,29.25,1284200,23.943962097168
29.1000003814697,29.7800006866455,28.8999996185303,29.4200000762939,1129300,24.0831241607666
30.3799991607666,31.3999996185303,30.0100002288818,31.1399993896484,2178500,25.4911098480225
31.2999992370605,31.2999992370605,30.4799995422363,30.8600006103516,975300,25.2619037628174
30.8799991607666,30.9599990844727,30.5900001525879,30.8099994659424,468600,25.2209758758545
30.8099994659424,31.7999992370605,30.6299991607666,31.7000007629395,1831000,25.9495277404785
31.7000007629395,31.9500007629395,31.2700004577637,31.2800006866455,1506500,25.6057147979736
31.4200000762939,31.8999996185303,31.1200008392334,31.75,2647900,25.9904556274414
31.9099998474121,32.2700004577637,31.6700000762939,32.0099983215332,2753000,26.2032871246338
32.25,32.2700004577637,31.7999992370605,32,1408600,26.195104598999
32.1100006103516,32.7999992370605,32.0299987792969,32.6100006103516,1068200,26.6944465637207
32.9900016784668,33.1500015258789,32.3199996948242,32.4700012207031,1216400,26.5798454284668
32.5999984741211,32.6699981689453,31.9200000762939,32.0699996948242,661200,26.252405166626
32.2799987792969,32.2799987792969,31.0499992370605,31.2299995422363,588600,25.5647850036621
31.7900009155273,31.8500003814697,31.1900005340576,31.3500003814697,1480100,25.6630153656006
31.7999992370605,32.5999984741211,31.3099994659424,31.4599990844727,1554100,25.753059387207
31.3600006103516,32.189998626709,31.2000007629395,31.8199996948242,1066100,26.0477561950684
31.5400009155273,32.439998626709,31.5400009155273,32.3499984741211,2283700,26.4816093444824
32.5499992370605,32.7900009155273,32.1100006103516,32.439998626709,1990100,26.5552864074707
32.3800010681152,32.7900009155273,32.2700004577637,32.7099990844727,1807200,26.7763042449951
32.7200012207031,32.9000015258789,32.0999984741211,32.6800003051758,2355200,26.7517490386963
32.8199996948242,32.8199996948242,32.189998626709,32.5400009155273,1120800,26.6371479034424
32.3800010681152,33.2099990844727,32.0999984741211,32.8600006103516,1132900,26.899097442627
33.0499992370605,34,32.8699989318848,33.9900016784668,2147000,27.8241138458252
33.8300018310547,34.2200012207031,33.1500015258789,33.2999992370605,1690600,27.2592811584473
33.6699981689453,34.3899993896484,33.5200004577637,34.3800010681152,2750400,28.143367767334
34.3400001525879,34.7000007629395,33.6500015258789,33.7599983215332,1375400,27.6358299255371
33.9300003051758,34,33.25,33.7999992370605,766000,27.6685791015625
33.8199996948242,34.5999984741211,33.7099990844727,33.9900016784668,762900,27.8241138458252
34.1599998474121,34.189998626709,33.3499984741211,34.0499992370605,1864600,27.8732242584229
33.810001373291,33.9799995422363,33.2299995422363,33.5699996948242,2050300,27.4803009033203
33.6399993896484,34.1500015258789,33.0499992370605,33.1399993896484,1841400,27.128303527832
32.7200012207031,33.4900016784668,32.6100006103516,32.8800010681152,1312400,26.915470123291
33.2200012207031,33.5200004577637,32.6800003051758,33.5200004577637,1349800,27.4393730163574
33.0900001525879,33.5200004577637,32.9700012207031,33.1399993896484,1432600,27.128303527832
33.2099990844727,33.6699981689453,33.0499992370605,33.5999984741211,1358500,27.5048580169678
33.5999984741211,34,33.2799987792969,33.6500015258789,2081400,27.5457897186279
33.5900001525879,33.7599983215332,33.1399993896484,33.439998626709,1137600,27.3738803863525
33.5900001525879,33.5900001525879,32.7599983215332,32.8300018310547,1055500,26.8745422363281
32.8800010681152,33.1699981689453,30.7800006866455,31.3400001525879,3062100,25.6548309326172
31.6100006103516,32.2999992370605,31.1200008392334,31.8799991607666,2742000,26.0968685150146
31.9400005340576,32.7799987792969,31.9300003051758,32.5400009155273,1413300,26.6371479034424
32.5,32.5200004577637,31.5499992370605,31.5499992370605,1422200,25.8267364501953
31.6700000762939,32.4900016784668,31.6700000762939,32.2799987792969,2218300,26.4243106842041
32.2799987792969,32.6500015258789,32.2000007629395,32.3499984741211,859400,26.4816093444824
32.6500015258789,32.9300003051758,31.7099990844727,31.8600006103516,2343700,26.0805015563965
31.3500003814697,31.6100006103516,30.6800003051758,30.8700008392334,2606100,25.270092010498
30.8600006103516,31.0400009155273,30.2000007629395,30.2000007629395,2257500,24.7216281890869
30.0599994659424,31.1499996185303,30.0599994659424,31,1906800,25.3765048980713
30.7199993133545,31.3700008392334,30.6200008392334,31.1100006103516,1458100,25.466552734375
30.8999996185303,31.8400001525879,30.8999996185303,31.5,1056500,25.7858066558838
31.2999992370605,31.6700000762939,31.1700000762939,31.6000003814697,1174900,25.8676681518555
32.810001373291,33.0699996948242,31.7099990844727,32.060001373291,1264600,26.2442207336426
32.2999992370605,32.7299995422363,32.0800018310547,32.5499992370605,1158800,26.6453323364258
32.5400009155273,32.8600006103516,32.1300010681152,32.4199981689453,907300,26.5389137268066
32.5,33.1599998474121,32.4900016784668,32.5900001525879,1343700,26.6780796051025
32.8600006103516,33.6599998474121,32.4300003051758,33.5,1551900,27.4229984283447
33.689998626709,33.9799995422363,33.2999992370605,33.75,908900,27.6276473999023
