"Date","GFSA3.SA.Open","GFSA3.SA.High","GFSA3.SA.Low","GFSA3.SA.Close","GFSA3.SA.Volume","GFSA3.SA.Adjusted"
2017-01-02,105.419662475586,106.269821166992,104.56950378418,106.269821166992,30356,106.269821166992
2017-01-03,107.119979858398,118.17204284668,107.119979858398,117.321884155273,149599,117.321884155273
2017-01-04,118.17204284668,122.422836303711,116.471725463867,121.572677612305,118227,121.572677612305
2017-01-05,122.422836303711,125.823471069336,120.722518920898,124.97331237793,101141,124.97331237793
2017-01-06,125.823471069336,125.823471069336,121.572677612305,122.422836303711,51123,122.422836303711
2017-01-09,123.272994995117,126.673629760742,122.422836303711,124.97331237793,37171,124.97331237793
2017-01-10,124.97331237793,127.523788452148,122.422836303711,122.422836303711,62762,122.422836303711
2017-01-11,123.272994995117,124.97331237793,116.471725463867,119.872360229492,120506,119.872360229492
2017-01-12,127.523788452148,130.074264526367,124.123153686523,129.224105834961,167545,129.224105834961
2017-01-13,130.074264526367,135.175216674805,129.224105834961,135.175216674805,124520,135.175216674805
2017-01-16,135.175216674805,141.126327514648,133.474899291992,138.57585144043,98990,138.57585144043
2017-01-17,139.426010131836,147.077438354492,137.725692749023,140.276168823242,241581,140.276168823242
2017-01-18,143.676803588867,150.478073120117,138.57585144043,138.57585144043,303337,138.57585144043
2017-01-19,141.126327514648,143.676803588867,133.474899291992,136.025375366211,162612,136.025375366211
2017-01-20,140.276168823242,143.676803588867,138.57585144043,141.976486206055,145239,141.976486206055
2017-01-23,141.126327514648,146.227279663086,140.276168823242,143.676803588867,115708,143.676803588867
2017-01-24,145.37712097168,148.777755737305,142.826644897461,144.526962280273,178099,144.526962280273
2017-01-26,147.077438354492,147.077438354492,140.276168823242,143.676803588867,152875,143.676803588867
2017-01-27,141.976486206055,145.37712097168,141.126327514648,142.826644897461,74477,142.826644897461
2017-01-30,141.976486206055,141.976486206055,135.175216674805,135.175216674805,110771,135.175216674805
2017-01-31,136.875534057617,141.976486206055,136.025375366211,139.426010131836,54449,139.426010131836
2017-02-01,141.976486206055,147.077438354492,141.976486206055,147.077438354492,99503,147.077438354492
2017-02-02,145.37712097168,152.17839050293,145.37712097168,147.077438354492,134213,147.077438354492
2017-02-03,146.227279663086,152.17839050293,146.227279663086,148.777755737305,101069,148.777755737305
2017-02-06,152.17839050293,155.579025268555,148.777755737305,148.777755737305,184179,148.777755737305
2017-02-07,152.17839050293,152.17839050293,144.526962280273,147.077438354492,126603,147.077438354492
2017-02-08,148.777755737305,150.478073120117,145.37712097168,149.627914428711,69998,149.627914428711
