"Date","BRFS3.SA.Open","BRFS3.SA.High","BRFS3.SA.Low","BRFS3.SA.Close","BRFS3.SA.Volume","BRFS3.SA.Adjusted"
2017-01-02,45.7199974060059,45.8342247009277,45.3487548828125,45.596248626709,630525,44.3683547973633
2017-01-03,45.7009582519531,47.1192970275879,45.7009582519531,47.1192970275879,1812155,45.8503875732422
2017-01-04,47.1192970275879,47.3096771240234,45.9294166564941,46.557674407959,1383751,45.3038864135742
2017-01-05,47.0336265563965,47.290641784668,46.1293144226074,46.1959495544434,1699749,44.951904296875
2017-01-06,46.1959495544434,46.1959495544434,43.7876281738281,43.9970474243164,4367767,42.8122177124023
2017-01-09,43.8352241516113,44.0256042480469,42.9309158325195,43.5020561218262,2502350,42.3305549621582
2017-01-10,44.5205955505371,44.5967483520508,43.5020561218262,43.7114753723145,2473356,42.5343360900879
2017-01-11,43.7971496582031,44.2731018066406,43.3307151794434,43.6543617248535,1295612,42.478759765625
2017-01-12,44.2635803222656,45.1107788085938,44.0636825561523,44.7871284484863,2261465,43.5810241699219
2017-01-13,44.6729011535645,44.872802734375,43.2736015319824,43.5877304077148,1684201,42.4139213562012
2017-01-16,43.5591735839844,44.1683921813965,43.3116760253906,43.5972480773926,1092651,42.4231872558594
2017-01-17,43.6543617248535,44.1207962036133,43.4544639587402,44.1207962036133,1639029,42.9326324462891
2017-01-18,44.2255058288574,44.2635803222656,42.9309158325195,43.1212959289551,1883066,41.9600486755371
2017-01-19,43.1593704223633,43.692440032959,42.7024574279785,43.1022567749023,2945987,41.941520690918
2017-01-20,43.463981628418,44.1779098510742,43.0070686340332,43.7495536804199,1727273,42.5713882446289
2017-01-23,43.8066673278809,44.5110778808594,43.682918548584,44.4920387268066,1290149,43.2938766479492
2017-01-24,44.4825210571289,44.9489555358887,43.9018592834473,44.6633834838867,2597633,43.4606056213379
2017-01-26,45.0346260070801,45.2726020812988,43.625804901123,43.692440032959,2890204,42.515811920166
2017-01-27,43.7400321960449,43.9494514465332,42.949951171875,43.1117782592773,2289619,41.9507904052734
2017-01-30,42.8357238769531,42.9785118103027,41.8171844482422,41.8647804260254,3364726,40.7373695373535
2017-01-31,41.9504547119141,42.5501518249512,41.7505531311035,42.3216972351074,2665497,41.1819839477539
2017-02-01,42.6358222961426,42.740535736084,41.550651550293,41.6934394836426,3318923,40.5706443786621
2017-02-02,41.5982475280762,43.1974487304688,41.5982475280762,42.3788108825684,2575992,41.2375602722168
2017-02-03,42.4740028381348,43.1974487304688,42.2645797729492,42.740535736084,2012595,41.589542388916
2017-02-06,42.8357238769531,42.8357238769531,41.2174873352051,41.3602714538574,2352125,40.2464485168457
2017-02-07,41.6744003295898,42.2645797729492,41.274600982666,41.4364242553711,2589334,40.3205528259277
2017-02-08,41.6077651977539,41.7315139770508,40.9414329528809,41.1508522033691,2105672,40.042667388916
2017-02-09,41.5030555725098,41.5030555725098,40.3893280029297,40.541633605957,3393931,39.4498558044434
2017-02-10,40.608268737793,41.3983497619629,40.5511512756348,41.1222953796387,2996517,40.0148811340332
2017-02-13,41.4173851013184,41.5696907043457,40.3607711791992,40.7129745483398,3087598,39.6165809631348
2017-02-14,41.0271034240723,41.7600708007812,40.7510528564453,41.1222953796387,2604566,40.0148811340332
2017-02-15,41.265079498291,42.0551605224609,41.265079498291,41.8457412719727,3963000,40.7188453674316
2017-02-16,41.9694900512695,42.3121757507324,41.7315139770508,41.7886276245117,2589964,40.6632690429688
2017-02-17,41.5411338806152,41.7029571533203,40.7415313720703,40.7891273498535,2978133,39.6906852722168
2017-02-20,40.9795112609863,41.1222953796387,40.3893280029297,40.3893280029297,1560449,39.3016510009766
2017-02-21,40.5035552978516,40.6749000549316,39.0947380065918,39.361270904541,4803525,38.3012809753418
2017-02-22,39.2660827636719,39.3041572570801,38.3141746520996,38.5426330566406,3889148,37.5046882629395
2017-02-23,38.7520523071289,39.5516510009766,38.628303527832,38.6473426818848,2583661,37.6065788269043
2017-02-24,37.4669799804688,39.2184867858887,37.0386238098145,38.6663818359375,4260088,37.6251029968262
2017-03-01,39.0281028747559,39.2946395874023,38.0286026000977,38.0761985778809,3256102,37.0508117675781
2017-03-02,38.0286026000977,38.2189865112305,37.2099647521973,37.4003486633301,5219323,36.3931655883789
2017-03-03,37.4669799804688,38.2761001586914,37.2670783996582,38.2761001586914,2606457,37.2453346252441
2017-03-06,38.3141746520996,39.9324150085449,38.1523513793945,38.6473426818848,4058283,37.6065788269043
