"Date","MGLU3.SA.Open","MGLU3.SA.High","MGLU3.SA.Low","MGLU3.SA.Close","MGLU3.SA.Volume","MGLU3.SA.Adjusted"
2017-01-02,3.83738303184509,3.85309290885925,3.71608304977417,3.71608304977417,1713375,3.62552833557129
2017-01-03,3.7445809841156,3.80998110771179,3.65360593795776,3.70475697517395,1371247,3.61447811126709
2017-01-04,3.69014191627502,3.70658397674561,3.47458004951477,3.50746202468872,2936823,3.42199110984802
2017-01-05,3.52426910400391,3.62803101539612,3.52390289306641,3.62803101539612,2953246,3.53962206840515
2017-01-06,3.62803101539612,3.64849090576172,3.58053398132324,3.60464811325073,684255,3.51680898666382
2017-01-09,3.60501289367676,3.6170699596405,3.44060111045837,3.44060111045837,3191366,3.35675930976868
2017-01-10,3.45631194114685,3.58053398132324,3.45302295684814,3.52244210243225,2134876,3.43660616874695
2017-01-11,3.50636601448059,3.59149503707886,3.50636601448059,3.5622661113739,3073675,3.47545981407166
2017-01-12,3.6097629070282,3.81765294075012,3.60136008262634,3.7997510433197,4406604,3.70715808868408
2017-01-13,3.79938507080078,3.90497398376465,3.77052211761475,3.87282299995422,2477004,3.77844858169556
2017-01-16,3.85930395126343,3.85930395126343,3.77307891845703,3.796462059021,2036343,3.70394897460938
2017-01-17,3.7997510433197,3.88232207298279,3.7723491191864,3.87282299995422,2036343,3.77844858169556
2017-01-18,3.87282299995422,3.90899300575256,3.86734199523926,3.8929181098938,1113967,3.79805445671082
2017-01-19,3.8929181098938,3.93127989768982,3.86039996147156,3.92397308349609,1642212,3.82835245132446
2017-01-20,3.8859760761261,4.38432788848877,3.8859760761261,4.38067388534546,7997576,4.27392435073853
2017-01-23,4.38067388534546,4.61194705963135,4.24585580825806,4.56700801849365,2961457,4.45571851730347
2017-01-24,4.56700801849365,4.7657642364502,4.48662900924683,4.7657642364502,3689504,4.64963006973267
2017-01-26,4.78220510482788,4.81180000305176,4.60244798660278,4.65907907485962,2835554,4.54554510116577
2017-01-27,4.62254285812378,4.68757677078247,4.42342090606689,4.54106712341309,1412303,4.4304084777832
2017-01-30,4.56481599807739,4.60317897796631,4.24585580825806,4.26010513305664,1048279,4.15629434585571
2017-01-31,4.30285215377808,4.67625093460083,4.30285215377808,4.67625093460083,2102032,4.56229877471924
2017-02-01,4.7131519317627,4.74968814849854,4.40113401412964,4.64007997512817,3005249,4.52700853347778
2017-02-02,4.63788795471191,4.65579080581665,4.53120279312134,4.64007997512817,3881096,4.52700853347778
2017-02-03,4.62181186676025,4.68538522720337,4.57614183425903,4.64007997512817,1149548,4.52700853347778
2017-02-06,4.60135221481323,5.07814788818359,4.60135221481323,5.07814788818359,2660384,4.95440244674683
2017-02-07,5.11541414260864,5.19688987731934,5.07851314544678,5.11504888534546,1521783,4.990403175354
2017-02-08,5.14683485031128,5.18812084197998,4.98717308044434,5.00544118881226,2192354,4.88346672058105
2017-02-09,5.05914878845215,5.05914878845215,5.00544118881226,5.00544118881226,908691,4.88346672058105
2017-02-10,5.0167670249939,5.07851314544678,5.0167670249939,5.05220699310303,1713375,4.92909288406372
2017-02-13,5.05257177352905,5.62655401229858,5.05257177352905,5.55348205566406,2531744,5.41815423965454
2017-02-14,5.61559295654297,5.8611159324646,5.4438738822937,5.46214199066162,2581011,5.32903957366943
2017-02-15,5.51694583892822,5.7036452293396,5.48041009902954,5.62655401229858,2824606,5.4894437789917
2017-02-16,5.66674423217773,5.72775888442993,5.60024785995483,5.69962596893311,2835554,5.56073570251465
2017-02-17,5.69962596893311,5.98351097106934,5.68172311782837,5.97547292709351,4094584,5.82986068725586
2017-02-20,6.24766683578491,6.46688413619995,6.08727407455444,6.43034696578979,3016197,6.27365064620972
2017-02-21,6.50341987609863,7.00761699676514,6.43253993988037,6.99665689468384,4940323,6.82615995407104
2017-02-22,6.99848318099976,7.12453317642212,6.8300518989563,7.07594013214111,6256830,6.9035120010376
2017-02-23,7.11211013793945,7.49281597137451,6.99336814880371,7.49281597137451,6790550,7.31022882461548
2017-02-24,7.40914916992188,7.96486186981201,7.13037919998169,7.60352087020874,4253331,7.41823577880859
2017-03-01,7.7580680847168,7.96486186981201,7.74930000305176,7.85525417327881,3678556,7.66383457183838
2017-03-02,7.86658000946045,7.90165519714355,7.08799695968628,7.23414087295532,4335441,7.05785799026489
2017-03-03,7.1610689163208,7.45335721969604,6.89800882339478,7.12489795684814,2920401,6.95127582550049
2017-03-06,7.1610689163208,7.41682100296021,7.05876779556274,7.12526321411133,1450621,6.95163249969482
2017-03-07,7.1610689163208,7.1610689163208,6.44824981689453,6.76282596588135,4663884,6.59802675247192
2017-03-08,6.83955097198486,6.83955097198486,6.03247022628784,6.43034696578979,5509624,6.27365064620972
2017-03-09,6.3715238571167,6.84941577911377,6.02991199493408,6.77707481384277,4510611,6.61192941665649
