"KLBN11.SA.Open","KLBN11.SA.High","KLBN11.SA.Low","KLBN11.SA.Close","KLBN11.SA.Volume","KLBN11.SA.Adjusted"
15.9454536437988,16.0636367797852,15.518180847168,15.5454540252686,925100,10.8809757232666
15.5545454025269,15.9727268218994,15.5545454025269,15.9363632202148,2288770,11.1545906066895
15.9090900421143,15.9272718429565,15.3454542160034,15.3454542160034,1985500,10.7409868240356
15.4090900421143,15.518180847168,15.13636302948,15.2090902328491,2021140,10.6455402374268
15.2363634109497,15.263635635376,14.9727268218994,15.13636302948,1492370,10.5946340560913
15.2818183898926,15.2818183898926,14.8181810379028,14.8181810379028,1856690,10.3719215393066
14.9181814193726,15.018180847168,14.8363628387451,14.9181814193726,1333200,10.4419212341309
15.0818176269531,15.0818176269531,14.7181806564331,14.7727270126343,1743610,10.3401069641113
14.9636363983154,15.1454544067383,14.8181810379028,15.1272716522217,2811600,10.5882720947266
15.0909090042114,15.0909090042114,14.7818183898926,14.9363632202148,2233770,10.454647064209
15.018180847168,15.0272722244263,14.7272720336914,14.8545446395874,1046870,10.3973770141602
14.7363634109497,14.9181814193726,14.7272720336914,14.8545446395874,1400850,10.3973770141602
14.8636360168457,15.0272722244263,14.8181810379028,14.9272718429565,1456180,10.4482803344727
15,15.3545446395874,14.9545450210571,15.2727270126343,2561130,10.6900815963745
15.381817817688,15.509090423584,14.7909088134766,14.8454542160034,2370500,10.3910131454468
14.8454542160034,15.1727266311646,14.6727266311646,15.1090898513794,2278320,10.5755443572998
15.1545448303223,15.2181806564331,14.754545211792,14.754545211792,2280960,10.3273820877075
14.8363628387451,15.1636362075806,14.8363628387451,15.0636358261108,3549260,10.5437297821045
15.0636358261108,15.2272720336914,14.9272718429565,15.1090898513794,1824350,10.5755443572998
15.0454540252686,15.2272720336914,14.8545446395874,14.9181814193726,1617440,10.4419212341309
15.009090423584,15.009090423584,14.6454544067383,14.763635635376,1765940,10.3337440490723
14.9545450210571,15,14.1000003814697,14.1454544067383,3659370,9.90104961395264
14.2454538345337,14.518180847168,14.1545448303223,14.3545446395874,2873750,10.0474033355713
14.4181814193726,14.5454540252686,14.2909088134766,14.3272724151611,1684430,10.0283145904541
14.372727394104,14.5,13.9545450210571,13.9545450210571,2371600,9.76742744445801
13.9818181991577,13.9818181991577,13.7181806564331,13.8000001907349,2457620,9.74952411651611
13.8090896606445,13.9454536437988,13.8000001907349,13.9090900421143,1537140,9.82659435272217
14.0272722244263,14.0454540252686,13.8272724151611,13.8909091949463,1752080,9.81375122070312
13.872727394104,13.9727268218994,13.8181810379028,13.8999996185303,2771120,9.82017135620117
13.9545450210571,13.9545450210571,13.7727270126343,13.8909091949463,1703460,9.81375122070312
13.8909091949463,14.2363634109497,13.8181810379028,14.1454544067383,3222780,9.99358177185059
14.2727270126343,14.6818180084229,14.1545448303223,14.6000003814697,2997610,10.3147144317627
14.5454540252686,14.6000003814697,14.3272724151611,14.3636360168457,2146540,10.14772605896
14.3636360168457,14.5272722244263,14.13636302948,14.13636302948,2469280,9.98715877532959
14.1727266311646,14.2727270126343,14.0727272033691,14.0727272033691,1170400,9.9422025680542
14.1454544067383,14.2272720336914,14.0818176269531,14.1818180084229,1427250,10.0192718505859
14.1909093856812,14.254545211792,13.9363632202148,14.0909090042114,2148300,9.95504951477051
14.1272716522217,14.1636362075806,13.8272724151611,13.8272724151611,2574000,9.76879215240479
13.8272724151611,14.1727266311646,13.6818180084229,14.0909090042114,3019720,9.95504951477051
14.1454544067383,14.2363634109497,13.9090900421143,13.9181814193726,1811920,9.83301830291748
13.9181814193726,14.0545454025269,13.6545448303223,13.9363632202148,2512070,9.84586429595947
13.9545450210571,14.0363626480103,13.7454538345337,13.9818181991577,1308560,9.87797546386719
13.9818181991577,14.0272722244263,13.6909093856812,13.7363634109497,3192970,9.70456314086914
13.7363634109497,14,13.6818180084229,13.6818180084229,2301200,9.66603088378906
13.8090896606445,13.9454536437988,13.6727266311646,13.881817817688,2328040,9.8073263168335
13.9090900421143,14.1181812286377,13.7818183898926,14,1615790,9.89081859588623
14.0727272033691,14.0909090042114,13.8636360168457,14.0454540252686,1376650,9.92293262481689
14.0545454025269,14.3999996185303,14.0272722244263,14.3454542160034,1559030,10.1348810195923
14.3636360168457,14.4181814193726,13.8000001907349,13.8000001907349,2183720,9.74952411651611
13.8454542160034,13.881817817688,13.5909090042114,13.63636302948,3168770,9.63391590118408
13.6727266311646,13.8636360168457,13.4454536437988,13.63636302948,2479400,9.63391590118408
13.6999998092651,13.8272724151611,13.3909091949463,13.4727268218994,3291970,9.51830863952637
13.4545450210571,13.8909091949463,13.4545450210571,13.7363634109497,3770690,9.70456314086914
13.7454538345337,13.872727394104,13.2818183898926,13.3545446395874,3161510,9.43481540679932
13.3454542160034,13.4181814193726,12.9454536437988,13.0909090042114,3962420,9.24856090545654
13.0545454025269,13.1636362075806,12.8636360168457,12.9545450210571,3067350,9.15222072601318
12.9545450210571,13.0272722244263,12.8000001907349,12.9545450210571,2785860,9.15222072601318
12.9636363983154,13.1909093856812,12.3090896606445,12.4727268218994,7076520,8.81182193756104
12.6999998092651,13.0909090042114,12.63636302948,13.018180847168,7054740,9.19717788696289
13.0909090042114,13.2727270126343,12.8181810379028,13.2272720336914,4288240,9.34490013122559
13.5,13.5272722244263,13.3181810379028,13.4545450210571,5882140,9.50546550750732
13.4363632202148,13.9454536437988,13.3999996185303,13.7727270126343,7768090,9.73025608062744
13.8000001907349,13.8000001907349,13.3636360168457,13.6545448303223,2495020,9.64675998687744
