"Date","LWSA3.SA.Open","LWSA3.SA.High","LWSA3.SA.Low","LWSA3.SA.Close","LWSA3.SA.Volume","LWSA3.SA.Adjusted"
2020-04-01,4.28749990463257,4.44999980926514,3.66249990463257,3.75,4519200,3.64664340019226
2020-04-02,3.875,3.875,3.44250011444092,3.61500000953674,6638400,3.51536440849304
2020-04-03,3.5625,4.31500005722046,3.33999991416931,4.17999982833862,15550000,4.06479167938232
2020-04-06,4.30499982833862,4.44999980926514,4.0625,4.38749980926514,7346400,4.26657295227051
2020-04-07,4.625,4.75,4.38500022888184,4.64499998092651,10064400,4.51697587966919
2020-04-08,4.75,4.93249988555908,4.44500017166138,4.75250005722046,6474000,4.62151288986206
2020-04-09,4.80000019073486,5.13749980926514,4.80000019073486,4.98999977111816,5905600,4.85246658325195
2020-04-13,5,5.12249994277954,4.6725001335144,4.6725001335144,10228800,4.54371786117554
2020-04-14,4.84999990463257,4.90999984741211,4.71250009536743,4.90999984741211,4073600,4.77467155456543
2020-04-15,4.8600001335144,5,4.7350001335144,4.84999990463257,806000,4.7163257598877
2020-04-16,5,5.02500009536743,4.78749990463257,4.875,1594000,4.74063634872437
2020-04-17,5.04500007629395,5.04500007629395,4.69250011444092,4.83750009536743,3591600,4.70417022705078
2020-04-20,4.7975001335144,5.12750005722046,4.71750020980835,5.12750005722046,3608400,4.98617696762085
2020-04-22,5.19750022888184,6.21000003814697,5.19500017166138,5.625,4714400,5.4699649810791
2020-04-23,5.75,5.88000011444092,5.34999990463257,5.5,1685200,5.34841012954712
2020-04-24,5.49499988555908,5.63500022888184,5.03749990463257,5.63500022888184,3102400,5.47969007492065
2020-04-27,5.64750003814697,5.875,5.49749994277954,5.80000019073486,2719200,5.64014196395874
2020-04-28,6.04500007629395,6.13500022888184,5.92500019073486,5.92500019073486,6683200,5.76169681549072
2020-04-29,5.94999980926514,6.04250001907349,5.84499979019165,5.88749980926514,3305200,5.72523021697998
2020-04-30,5.88000011444092,5.96250009536743,5.63250017166138,5.69000005722046,5458400,5.53317403793335
2020-05-04,5.59499979019165,5.73999977111816,5.38250017166138,5.4850001335144,1476000,5.33382415771484
2020-05-05,5.52500009536743,5.82499980926514,5.42749977111816,5.57000017166138,2322000,5.41648101806641
2020-05-06,5.61250019073486,6.06500005722046,5.51749992370605,6.06500005722046,5102800,5.89783811569214
2020-05-07,6.16249990463257,6.19999980926514,5.82999992370605,6.09999990463257,1921200,5.9318733215332
2020-05-08,6.15500020980835,6.15500020980835,5.88250017166138,6.00250005722046,2640000,5.83706045150757
2020-05-11,6.00250005722046,6.07499980926514,5.87750005722046,5.94999980926514,1185200,5.78600788116455
2020-05-12,5.94999980926514,6.125,5.91499996185303,5.9375,1250800,5.77385234832764
2020-05-13,5.92500019073486,6.125,5.90500020980835,6.02500009536743,3506000,5.85894012451172
