"RADL3.SA.Open","RADL3.SA.High","RADL3.SA.Low","RADL3.SA.Close","RADL3.SA.Volume","RADL3.SA.Adjusted"
11.6576919555664,11.7461528778076,11.5019226074219,11.6596145629883,1611480,10.8312721252441
11.6807689666748,12.1673069000244,11.6807689666748,12.1057691574097,5282680,11.2457361221313
12.0826921463013,12.1019229888916,11.8442296981812,11.9346151351929,3645200,11.0867385864258
12.0249996185303,12.0346145629883,11.7442302703857,11.7557687759399,5055440,10.9206008911133
11.8192300796509,11.8192300796509,11.4096145629883,11.7807693481445,6719960,10.9438219070435
11.7749996185303,11.9250001907349,11.644229888916,11.7615375518799,4110080,10.9259586334229
11.817307472229,11.8826923370361,11.5423069000244,11.5461530685425,3403400,10.7258768081665
11.6826915740967,11.8057689666748,11.5557689666748,11.7211532592773,4431960,10.8884429931641
12.1173067092896,12.2576923370361,11.9230756759644,12.0615377426147,6582160,11.2046461105347
12.009614944458,12.0711526870728,11.8923072814941,12.0711526870728,3139760,11.2135763168335
12.0769233703613,12.1692304611206,11.9480762481689,11.9807691574097,3958760,11.1296148300171
11.9461526870728,12.3307685852051,11.8673067092896,12.3076915740967,6263400,11.4333152770996
12.3461532592773,12.4557685852051,12.1307687759399,12.1826915740967,4864600,11.3171901702881
12.3076915740967,12.3076915740967,12.0846147537231,12.2730760574341,12010440,11.4011573791504
12.2865381240845,12.3442296981812,12.144229888916,12.2288455963135,5036720,11.360068321228
12.2884607315063,12.4038457870483,12.1865377426147,12.3096151351929,5159440,11.4350957870483
12.3096151351929,12.6461534500122,12.2749996185303,12.5461530685425,2891720,11.6548309326172
12.5500001907349,12.7826919555664,12.5500001907349,12.7538461685181,6632080,11.8477697372437
12.7846145629883,12.7846145629883,12.6461534500122,12.7403841018677,5338840,11.8352670669556
12.6557693481445,12.8365383148193,12.4250001907349,12.5961532592773,3740880,11.7012767791748
12.5326919555664,12.644229888916,12.4923067092896,12.5961532592773,5840640,11.7012767791748
12.6000003814697,12.692307472229,12.0500001907349,12.1634607315063,8700120,11.2993268966675
12.1653842926025,12.4711532592773,12.1634607315063,12.2326917648315,4347200,11.3636379241943
12.2923069000244,12.384614944458,12.2173070907593,12.3461532592773,4401280,11.4690408706665
12.3999996185303,12.4442300796509,12.0384607315063,12.0961532592773,6567600,11.2368011474609
12.1730756759644,12.2711534500122,12.019229888916,12.1057691574097,4464720,11.2457361221313
12.1057691574097,12.3673067092896,12.0557689666748,12.3673067092896,3100760,11.488694190979
12.3711528778076,12.4038457870483,12.0576915740967,12.1134605407715,6975800,11.2528781890869
12.1173067092896,12.375,12.0384607315063,12.3076915740967,6445400,11.4333152770996
12.3365383148193,12.442307472229,12.134614944458,12.1615381240845,5870800,11.2975406646729
12.1673069000244,12.3269233703613,12.1115379333496,12.2250003814697,6105840,11.3564949035645
12.2865381240845,12.769229888916,12.2326917648315,12.6903839111328,8285160,11.7888154983521
12.692307472229,12.7269229888916,12.3538455963135,12.4326915740967,9451520,11.5494318008423
12.4346151351929,12.6153841018677,12.0403842926025,12.1730756759644,10036520,11.3082580566406
12.2115383148193,12.3192300796509,12.1192302703857,12.192307472229,4520360,11.3261260986328
12.3019227981567,12.3019227981567,12.0596151351929,12.1538457870483,6564480,11.2903957366943
12.1057691574097,12.1057691574097,11.6192302703857,11.6596145629883,12291760,10.8312721252441
11.6673069000244,11.8634605407715,11.5692300796509,11.692307472229,10054720,10.861647605896
11.6326923370361,11.634614944458,11.2807693481445,11.4230756759644,11584560,10.6115398406982
11.3346147537231,11.5134611129761,11.1403837203979,11.1730756759644,11848200,10.379301071167
11.1846151351929,11.5557689666748,11.1153841018677,11.5384607315063,10404160,10.718729019165
11.5403842926025,11.5769233703613,11.3480758666992,11.442307472229,7559760,10.6294069290161
11.4403839111328,11.5634613037109,11.3576917648315,11.442307472229,5057000,10.6294069290161
11.4634609222412,11.8269233703613,11.3192300796509,11.375,9285640,10.5668830871582
11.4057693481445,11.4653835296631,11.192307472229,11.3557691574097,5977400,10.5490169525146
11.259614944458,11.3307685852051,10.9461526870728,10.9576921463013,11593400,10.1792240142822
10.9807691574097,11.3134613037109,10.9807691574097,11.1173067092896,9698520,10.3274965286255
11.1461534500122,11.3442296981812,11.1461534500122,11.2749996185303,4227080,10.4739856719971
11.2788457870483,11.2826919555664,10.8480758666992,10.8653841018677,9373000,10.093469619751
10.8673067092896,11.1519231796265,10.8115377426147,11.0884609222412,6722560,10.3006982803345
11.0903835296631,11.1788463592529,10.8557691574097,10.8653841018677,8464040,10.093469619751
10.8288459777832,11.0403842926025,10.8288459777832,10.9038457870483,8267480,10.1291990280151
10.9634609222412,11.2096147537231,10.9076919555664,11.1826915740967,7564960,10.3882369995117
11.2115383148193,11.2673072814941,10.9307689666748,11.0865383148193,10599160,10.2989149093628
11.0807685852051,11.0807685852051,10.8807687759399,11.019229888916,9289800,10.2363862991333
11.0019226074219,11.1038455963135,10.9192304611206,11.1038455963135,9107800,10.3149919509888
11.1096153259277,11.1499996185303,10.9634609222412,11.0576915740967,5837000,10.2721176147461
11.0269231796265,11.1269226074219,10.8596153259277,11.0038461685181,13315120,10.2496709823608
11.1538457870483,11.5961532592773,11.0596151351929,11.5,11450400,10.7118167877197
11.5384607315063,11.5576915740967,11.3596153259277,11.4230756759644,5611840,10.6401634216309
11.4942302703857,11.5307693481445,11.3230762481689,11.4057693481445,3924960,10.6240463256836
11.4326915740967,11.4326915740967,11.1807689666748,11.2826919555664,7133880,10.5094041824341
