"IRBR3.SA.Open","IRBR3.SA.High","IRBR3.SA.Low","IRBR3.SA.Close","IRBR3.SA.Volume","IRBR3.SA.Adjusted"
216.686172485352,226.960739135742,215.22932434082,224.583786010742,1448107,207.719314575195
226.807388305664,227.727508544922,224.583786010742,225.427230834961,496061,208.499404907227
225.427230834961,226.040634155273,223.050277709961,225.810607910156,146838,208.85400390625
224.277084350586,225.887283325195,223.433654785156,224.967178344727,88032,208.07389831543
226.960739135742,229.721084594727,217.912979125977,218.526397705078,302702,202.116775512695
221.59342956543,223.126953125,218.526397705078,218.909774780273,212322,202.471374511719
220.673324584961,220.673324584961,214.769271850586,215.842742919922,262129,199.634658813477
216.226119995117,216.992874145508,209.401962280273,212.775695800781,202188,196.797897338867
212.315643310547,217.836303710938,211.472213745117,216.532821655273,83768,200.272888183594
217.836303710938,218.986450195312,214.692596435547,217.759628295898,48476,201.407592773438
218.909774780273,218.909774780273,215.152648925781,217.759628295898,42790,201.407592773438
218.909774780273,218.909774780273,217.069549560547,217.759628295898,72604,201.407592773438
217.759628295898,219.21647644043,214.002517700195,218.526397705078,141908,202.116775512695
218.526397705078,218.756423950195,216.226119995117,216.609497070312,247261,200.343826293945
216.992874145508,218.909774780273,214.769271850586,218.526397705078,326986,202.116775512695
218.603073120117,219.98323059082,213.465774536133,219.446502685547,257303,202.967803955078
219.446502685547,220.059906005859,217.299575805664,218.526397705078,46233,202.116775512695
218.526397705078,218.603073120117,214.385894775391,215.22932434082,69265,199.067276000977
216.83952331543,222.36018371582,212.622344970703,222.36018371582,496726,205.662673950195
221.746780395508,228.494262695312,220.519973754883,228.494262695312,198745,211.336151123047
228.954315185547,232.558090209961,226.193984985352,231.944686889648,228259,214.527465820312
231.331268310547,235.931823730469,226.960739135742,231.331268310547,110895,213.960083007812
232.711441040039,232.941467285156,227.880859375,232.328063964844,64518,214.882049560547
230.641189575195,232.558090209961,229.107666015625,230.027786254883,24192,212.754486083984
230.104461669922,230.794540405273,227.11408996582,228.187561035156,102209,211.052459716797
228.494262695312,231.177917480469,227.727508544922,230.027786254883,26931,212.754486083984
230.027786254883,233.784896850586,229.414367675781,232.328063964844,252530,214.882049560547
233.861572265625,237.695373535156,233.861572265625,236.008499145508,109786,218.286102294922
236.008499145508,236.008499145508,236.008499145508,236.008499145508,0,218.286102294922
238.845520019531,243.752777099609,237.542022705078,241.529174804688,291538,223.392242431641
241.529174804688,243.829452514648,240.072326660156,242.142578125,119189,223.959594726562
241.989227294922,245.132934570312,241.529174804688,241.529174804688,116385,223.392242431641
241.605850219727,242.525955200195,237.695373535156,239.152221679688,61349,221.193786621094
238.078750610352,242.295928955078,238.078750610352,238.845520019531,51645,220.910079956055
238.538803100586,243.522750854492,238.538803100586,243.369400024414,102613,225.094268798828
243.829452514648,246.129730224609,240.072326660156,241.529174804688,190750,223.392242431641
241.529174804688,245.36296081543,239.688949584961,241.222473144531,22405,223.108535766602
242.909332275391,243.446075439453,239.305572509766,239.458923339844,64974,221.477432250977
240.149002075195,242.372604370117,238.385452270508,241.529174804688,89480,223.392242431641
241.29914855957,244.596206665039,239.842300415039,244.51953125,36999,226.158050537109
244.749557495117,246.05305480957,239.305572509766,240.379028320312,77912,222.32844543457
240.992446899414,242.142578125,237.005294799805,238.538803100586,43625,220.626403808594
239.228897094727,240.455703735352,234.705017089844,235.395095825195,41486,217.71875
236.391891479492,240.302352905273,230.027786254883,233.094818115234,111156,215.591217041016
235.625122070312,235.625122070312,227.574157714844,231.944686889648,174513,214.527465820312
232.788116455078,238.385452270508,231.944686889648,236.315200805664,97827,218.569778442383
235.931823730469,237.158645629883,232.174713134766,235.85514831543,216534,218.144271850586
237.695373535156,237.695373535156,232.711441040039,235.778472900391,147256,218.073364257812
236.315200805664,236.928619384766,231.331268310547,232.634765625,185260,215.165710449219
232.711441040039,233.938247680664,228.494262695312,229.644409179688,72512,212.399917602539
230.411163330078,236.008499145508,230.411163330078,236.008499145508,84107,218.286102294922
236.54524230957,237.695373535156,232.711441040039,235.778472900391,108639,218.073364257812
237.235321044922,240.379028320312,232.711441040039,237.235321044922,117833,219.420822143555
237.235321044922,237.235321044922,237.235321044922,237.235321044922,0,219.420822143555
239.612274169922,242.832656860352,239.612274169922,240.532379150391,88189,222.470275878906
241.529174804688,245.36296081543,240.915771484375,244.059478759766,160232,225.732528686523
244.059478759766,245.209609985352,241.759201049805,243.062683105469,68039,224.810592651367
244.596206665039,245.746353149414,241.605850219727,245.746353149414,93014,227.292739868164
242.832656860352,251.727066040039,242.295928955078,250.270233154297,143656,231.476898193359
251.803741455078,257.477752685547,251.803741455078,254.717437744141,90497,235.59016418457
257.017700195312,257.707794189453,251.727066040039,252.263793945312,72604,233.320770263672
252.340484619141,255.100814819336,249.2734375,250.270233154297,87785,231.476898193359
250.500259399414,252.033767700195,247.433212280273,249.580139160156,83611,230.838638305664
250.270233154297,254.564071655273,248.813385009766,252.800537109375,55545,233.817199707031
253.030563354492,256.864349365234,250.346908569336,254.180694580078,55858,235.093719482422
254.02734375,255.024139404297,251.420364379883,253.030563354492,160324,234.02995300293
254.257369995117,254.257369995117,250.653610229492,251.573715209961,91632,232.682495117188
256.864349365234,259.394653320312,253.567291259766,255.024139404297,232015,235.87385559082
255.024139404297,255.024139404297,255.024139404297,255.024139404297,0,235.87385559082
258.397888183594,258.78125,254.717437744141,256.710998535156,201288,237.434036254883
259.624694824219,260.774841308594,256.864349365234,260.698150634766,103839,241.121765136719
261.464904785156,261.464904785156,258.934600830078,260.774841308594,136939,241.19270324707
